pro_title,pro_brand,pro_model,pro_color,数量,normalized_brand,device_category,normalized_model,memory_storage,normalized_color,storage
华为 WATCH GT 4,华为,云杉绿 复合编织表带 GT 4 （46mm）,,9,Huawei 华为,Smartwatch,WATCH GT 4,未知,未知,未知
Redmi K70,红米,晴雪 12+256G,,6,Xiaomi 小米,Smartphone,Redmi K70,未知+256GB,未知,未知+256GB
iPad Air 2024款 11英寸,Apple,WiFi版 256G 紫色,,8,Apple 苹果,Smartphone,iPad Air 2024,未知+256GB,未知,未知+256GB
华为 Pura 70 Ultra,华为,公开零售版 香颂绿 16+512G,,3,Huawei 华为,Smartphone,Pura 70 Ultra,未知+512GB,未知,未知+512GB
雷神 猎刃15 2024,雷神(ThundeRobot),i7-13650HX/16G/512G/RTX4060/15.6英寸 灰色,,8,ThundeRobot 雷神,Smartphone,i7-13650HX/16G/512G/RTX4060/15.6英寸 灰色,未知+16GB,未知,未知+16GB
华为 FreeBuds Lipstick 2,华为,魅影黑,,2,Huawei 华为,Earphone,FreeBuds Lipstick 2,未知,未知,未知
联想 小新Pro16 2024,联想,鸽子灰 R7-8845H/16G/1T/集显/16英寸,,3,Lenovo 联想,Computer,鸽子灰 R7-8845H/16G/1T/集显/16英寸,未知+16GB,未知,未知+16GB
HUAWEI WATCH Buds,华为,黑色真皮表带,,5,Huawei 华为,Smartwatch,HUAWEI WATCH Buds,未知,未知,未知
华为 Mate X5,华为,16GB+512GB 典藏版  青山黛,,3,Huawei 华为,Smartphone,Mate X5,16GB+512GB,未知,16GB+512GB
华为 MateBook E 2023,华为,i7-1260U/16G/512G/锐炬Xe/12.6英寸 雪域白,,2,Huawei 华为,Computer,MateBook E 2023,未知+16GB,未知,未知+16GB
iPhone 15,Apple,粉色 256G,,12,Apple 苹果,Smartphone,iPhone 15,未知+256GB,未知,未知+256GB
联想 拯救者R7000（二手）,联想,幻影黑 R7-5800H/16G/512G/RTX3050/15.6英寸,,2,Lenovo 联想,Computer,幻影黑 R7-5800H/16G/512G/RTX3050/15.6英寸,未知+16GB,未知,未知+16GB
华为 Pura 70 Ultra,华为,公开零售版 摩卡棕 16+1T,,2,Huawei 华为,Smartphone,Pura 70 Ultra,未知+1024GB,未知,未知+1024GB
小米 MIX Fold4,小米,龙鳞纤维版 12+256G,,3,Xiaomi 小米,Smartphone,MIX Fold4,未知+256GB,未知,未知+256GB
OPPO A3 Pro,OPPO,天青 8+256G,,5,OPPO,Smartphone,OPPO A3 Pro,未知+256GB,未知,未知+256GB
小米 MIX Flip,小米,12+256G 黑色,,6,Xiaomi 小米,Smartphone,MIX Flip,未知+256GB,未知,未知+256GB
MacBook Air 2024款,Apple,M3/8+8核/8G+256G 13.6英寸 星光色,,2,Apple 苹果,Computer,MacBook Air 2024,8GB+256GB,未知,8GB+256GB
ThinkBook 16+ 2024,联想,UItra 5 125H/32G/1T/锐炫/16英寸 月神灰,,2,Lenovo 联想,Computer,ThinkBook 16,未知+32GB,未知,未知+32GB
vivo X100 Ultra,vivo,钛色 专属版 16+512G,,10,VIVO,Smartphone,vivo X100 Ultra,未知+512GB,未知,未知+512GB
iPhone 14,Apple,标准版 (iPhone 14) 256G 紫色,,2,Apple 苹果,Smartphone,iPhone 14,未知+256GB,未知,未知+256GB
MacBook Air 2022款,Apple,M2/8+8核/8G+256G 13.6英寸 星光色,,3,Apple 苹果,Computer,MacBook Air 2022,8GB+256GB,未知,8GB+256GB
vivo iQOO 12 Pro,vivo,16+1T  传奇版,,2,VIVO,Smartphone,vivo iQOO 12 Pro,未知+1024GB,未知,未知+1024GB
iPhone 13,Apple,标准版（iPhone 13） 午夜色 全网通-国行版 128G,,2,Apple 苹果,Smartphone,iPhone 13,未知+128GB,未知,未知+128GB
三星 Galaxy S24,三星,水墨黑 8+256G,,2,Samsung 三星,Smartphone,Galaxy S24,未知+256GB,未知,未知+256GB
华硕 天选4,华硕,i7-13700H/16G/512SSD/RTX4060 8G独显/165Hz/100%DCI-P3/魔幻青,,6,Asus 华硕,Computer,i7-13700H/16G/512SSD/RTX4060 8G独显/165Hz/100%DCI-P3/魔幻青,未知+16GB,未知,未知+16GB
联想 拯救者Y9000P 2024,联想,冰魄白 i9-14900HX/32G/1T/RTX4070/16英寸,,4,Lenovo 联想,Computer,冰魄白 i9-14900HX/32G/1T/RTX4070/16英寸,未知+32GB,未知,未知+32GB
华为 MateBook D16 2024,华为,i5-13420H/16G/1T/集显/16英寸 皓月银,,6,Huawei 华为,Computer,MateBook D16,未知+16GB,未知,未知+16GB
机械革命 耀世15 Pro 2024,机械革命（MECHREVO）,i7-14650HX/32G/1T/RTX4060/15.3英寸 云涧白,,3,MECHREVO 机械革命,Smartphone,i7-14650HX/32G/1T/RTX4060/15.3英寸 云涧白,未知+32GB,未知,未知+32GB
MacBook Air 2024款,Apple,M3/8+10核/8G+512G 15.3英寸 午夜色,,2,Apple 苹果,Computer,MacBook Air 2024,8GB+512GB,未知,8GB+512GB
雷神 猎刃15 2024,雷神(ThundeRobot),i9-14900HX/16G/1T/RTX4060/15.6英寸 灰色,,6,ThundeRobot 雷神,Smartphone,i9-14900HX/16G/1T/RTX4060/15.6英寸 灰色,未知+16GB,未知,未知+16GB
华为 FreeBuds Pro 3,华为,星河蓝,,3,Huawei 华为,Earphone,FreeBuds Pro 3,未知,未知,未知
机械革命 旷世G16 Pro 2024,机械革命（MECHREVO）,i7-13650HX/16G/1T/RTX4060/16英寸 灰色,,2,MECHREVO 机械革命,Smartphone,i7-13650HX/16G/1T/RTX4060/16英寸 灰色,未知+16GB,未知,未知+16GB
MacBook Air 2024款,Apple,M3/8+10核/8G+512G 15.3英寸 银色,,2,Apple 苹果,Computer,MacBook Air 2024,8GB+512GB,未知,8GB+512GB
华为 MatePad Pro 2023款,华为,12GB+256GB WIFI版 13.2英寸 晶钻白,,3,Huawei 华为,Tablet,MatePad Pro 2023,12GB+256GB,未知,12GB+256GB
Apple Watch SE 2023款,Apple,星光色运动型表带 S/M GPS + 蜂窝网络 铝金属表壳 44mm,,5,Apple 苹果,Smartphone,Apple Watch SE 2023,未知,未知,未知
华为 Pura 70 Pro+,华为,公开零售版 光织银 16+512G,,4,Huawei 华为,Smartphone,Pura 70 Pro,未知+512GB,未知,未知+512GB
Redmi K70,红米,竹月蓝 16+512G,,2,Xiaomi 小米,Smartphone,Redmi K70,未知+512GB,未知,未知+512GB
华硕 无畏Pro15 2024,华硕,Ultra 9 185H/16G/1T/RTX4060/15.6英寸 银色,,2,Asus 华硕,Computer,Ultra 9 185H/16G/1T/RTX4060/15.6英寸 银色,未知+16GB,未知,未知+16GB
红米K70至尊版,红米,墨羽黑 12+256G,,19,Xiaomi 小米,Smartphone,K70,未知+256GB,红色,未知+256GB
OPPO A3,OPPO,12+256G 极光紫,,2,OPPO,Smartphone,OPPO A3,未知+256GB,未知,未知+256GB
华为 Mate X5,华为,青山黛 12+512G,,3,Huawei 华为,Smartphone,Mate X5,未知+512GB,未知,未知+512GB
vivo X100s,vivo,钛色 专属版 12+256G,,3,VIVO,Smartphone,vivo X100,未知+256GB,未知,未知+256GB
vivo IQOO Neo9S Pro+,vivo,格斗黑 16+512G,,3,VIVO,Smartphone,vivo IQOO Neo9,未知+512GB,未知,未知+512GB
realme GT6,realme,光年白 16+1T,,5,Realme 真我,Smartphone,realme GT6,未知+1024GB,未知,未知+1024GB
OPPO Pad Air2,oppo,8GB+128GB 流光银,,3,OPPO,Smartphone,OPPO Pad Air2,8GB+128GB,未知,8GB+128GB
联想 拯救者Y700 2023款,联想（Lenovo）,钛晶灰 16GB+512GB,,5,Lenovo 联想,Computer,16GB+512GB,16GB+512GB,未知,16GB+512GB
Apple Watch SE 2023款,Apple,午夜色运动型表带 GPS M/L 铝金属表壳 40mm,,2,Apple 苹果,Smartphone,Apple Watch SE 2023,未知,未知,未知
魅族21 Note,魅族,魅族白 16+512G,,3,Meizu 魅族,Smartphone,Note,未知+512GB,未知,未知+512GB
iPhone 15,Apple,绿色 128G,,14,Apple 苹果,Smartphone,iPhone 15,未知+128GB,未知,未知+128GB
一加Ace3 Pro,一加,超跑瓷典藏版 24+1T,,8,OnePlus 一加,Smartphone,Ace3 Pro,未知+1024GB,未知,未知+1024GB
vivo X100s Pro,vivo,白月光 专属版 12+256G,,3,VIVO,Smartphone,vivo X100,未知+256GB,未知,未知+256GB
苹果15 Pro【首月1元】,Apple,128GB,黑色钛金属,3,Apple 苹果,Smartphone,Pro,未知+128GB,黑色,未知+128GB
iPad Pro 2024款 M4芯片 新款苹果平板电脑,Apple,13英寸512GB 无线局域网机型,深空黑色,8,Apple 苹果,Computer,iPad Pro 2024,未知+512GB,黑色,未知+512GB
苹果15 Pro【首月1元】,Apple,128GB,原色钛金属,2,Apple 苹果,Smartphone,Pro,未知+128GB,金色,未知+128GB
苹果 15 ProMax【首月1元】,Apple,512GB,蓝色钛金属,3,Apple 苹果,Smartphone,15 Pro,未知+512GB,蓝色,未知+512GB
iPad Pro 2024款 M4芯片 新款苹果平板电脑,Apple,11英寸512GB 无线局域网机型,深空黑色,2,Apple 苹果,Computer,iPad Pro 2024,未知+512GB,黑色,未知+512GB
全新 Apple 苹果 iPad Pro 2024款 M4芯片 新款平板电脑,Apple,11英寸512GB 无线局域网机型,深空黑色,1,Apple 苹果,Computer,Apple,未知+512GB,黑色,未知+512GB
苹果15 Pro【首月1元】,Apple,256GB,原色钛金属,4,Apple 苹果,Smartphone,Pro,未知+256GB,金色,未知+256GB
全新 iPhone 15 Pro Max 新品首发 5G全网通 钛合金金属边框,Apple,1TB,原色钛金属,2,Apple 苹果,Smartphone,iPhone 15 Pro,未知+1024GB,金色,未知+1024GB
Apple Watch Series?9,Apple,风暴蓝色运动型表带 M/L 铝金属表壳 45mm GPS版,,3,Apple 苹果,Smartphone,Apple Watch Series,未知,未知,未知
三星Galaxy S24+新品上新  AI智享生活办公 2K全视屏,三星（SAMSUNG）,12+512GB,雅岩灰,1,Samsung 三星,Smartphone,Galaxy S24,未知+512GB,灰色,未知+512GB
苹果15【首月1元】,Apple,256GB,蓝色,1,Apple 苹果,Smartphone,256GB,未知+256GB,蓝色,未知+256GB
Apple Watch Series?9,Apple,星光色运动型表带 S/M 铝金属表壳 45mm GPS版,,5,Apple 苹果,Smartphone,Apple Watch Series,未知,未知,未知
小米 14 Ultra,小米,龙晶蓝 16+512G,,4,Xiaomi 小米,Smartphone,14 Ultra,未知+512GB,未知,未知+512GB
小米 14 Ultra,小米,12+256G 白色,,4,Xiaomi 小米,Smartphone,14 Ultra,未知+256GB,未知,未知+256GB
联想 拯救者R7000 2024,联想,R7-8745H/16G/512G/RTX4050/15.6英寸 钛晶灰,,3,Lenovo 联想,Computer,R7-8745H/16G/512G/RTX4050/15.6英寸 钛晶灰,未知+16GB,未知,未知+16GB
iPad Pro 2024款 13英寸,Apple,标准玻璃 WiFi版 512G 银色,,6,Apple 苹果,Smartphone,iPad Pro 2024,未知+512GB,未知,未知+512GB
华为 Pura 70,华为,公开加锁版 羽砂黑 12+1T,,2,Huawei 华为,Smartphone,Pura 70,未知+1024GB,未知,未知+1024GB
华为 Pura 70,华为,公开加锁版 羽砂黑 12+512G,,3,Huawei 华为,Smartphone,Pura 70,未知+512GB,未知,未知+512GB
Apple Watch Series?9,Apple,午夜色运动型表带 M/L 铝金属表壳 45mm GPS版,,5,Apple 苹果,Smartphone,Apple Watch Series,未知,未知,未知
小米 Pad 6S Pro 12.4,小米,12GB+256GB 云峰蓝,,2,Xiaomi 小米,Smartphone,Pad 6,12GB+256GB,未知,12GB+256GB
机械革命 蛟龙16 Pro,机械革命（MECHREVO）,R7-7745HX/32G/1TB/RTX4060/16英寸/QHD100色域240Hz 烟灰色,,4,MECHREVO 机械革命,Smartphone,R7-7745HX/32G/1TB/RTX4060/16英寸/QHD100色域240Hz 烟灰色,未知+32GB,未知,未知+32GB
荣耀Magic V3,荣耀,绒黑色 16+512G,,4,Honor 荣耀,Smartphone,Magic V3,未知+512GB,未知,未知+512GB
小米 MIX Flip,小米,12+256G 白色,,8,Xiaomi 小米,Smartphone,MIX Flip,未知+256GB,未知,未知+256GB
MacBook Air 2024款,Apple,M3/8+8核/8G+256G 13.6英寸 银色,,6,Apple 苹果,Computer,MacBook Air 2024,8GB+256GB,未知,8GB+256GB
AirPods 3,Apple,配闪电充电盒 白色,,5,Apple 苹果,Smartphone,AirPods 3,未知,未知,未知
华为 FreeClip 耳夹耳机,华为,暖星云,,1,Huawei 华为,Earphone,FreeClip,未知,未知,未知
华硕 天选5 Pro,华硕,R9-7940HX/16G/1T/RTX4060/16英寸 魔幻青,,6,Asus 华硕,Computer,R9-7940HX/16G/1T/RTX4060/16英寸 魔幻青,未知+16GB,未知,未知+16GB
华为 Pura 70 Ultra,华为,公开加锁版 星芒白 16+1T,,2,Huawei 华为,Smartphone,Pura 70 Ultra,未知+1024GB,未知,未知+1024GB
华硕 天选4,华硕,i7-13700H/16G/512SSD/RTX4060 8G独显/144Hz/100%DCI-P3/日蚀灰,,7,Asus 华硕,Computer,i7-13700H/16G/512SSD/RTX4060 8G独显/144Hz/100%DCI-P3/日蚀灰,未知+16GB,未知,未知+16GB
vivo S19Pro,vivo,千山翠 12+512G,,3,VIVO,Smartphone,vivo S19Pro,未知+512GB,未知,未知+512GB
华硕 天选5 Pro,华硕,日蚀灰 i7-13650HX/16G/1T/RTX4060/16英寸,,5,Asus 华硕,Computer,日蚀灰 i7-13650HX/16G/1T/RTX4060/16英寸,未知+16GB,未知,未知+16GB
vivo IQOO Neo9S Pro+,vivo,星曜白 16+512G,,3,VIVO,Smartphone,vivo IQOO Neo9,未知+512GB,未知,未知+512GB
Apple Watch Ultra 2,Apple,中号 蓝色高山回环式表带 钛金属表壳 49MM 蜂窝+GPS版,,2,Apple 苹果,Smartphone,Apple Watch Ultra 2,未知,未知,未知
荣耀 平板MagicPad2,荣耀,天海青 16GB+512GB,,2,Honor 荣耀,Smartphone,16GB+512GB,16GB+512GB,未知,16GB+512GB
雷神 猎刃15 2024,雷神(ThundeRobot),i7-13650HX/16G/512G/RTX4050/15.6英寸 灰色,,5,ThundeRobot 雷神,Smartphone,i7-13650HX/16G/512G/RTX4050/15.6英寸 灰色,未知+16GB,未知,未知+16GB
机械革命 旷世16 Super 2024,机械革命（MECHREVO）,银黑色 i9-14900HX/32G/1T/RTX4080/16英寸,,4,MECHREVO 机械革命,Smartphone,银黑色 i9-14900HX/32G/1T/RTX4080/16英寸,未知+32GB,未知,未知+32GB
一加平板 Pro,一加,卡其绿 8GB+256GB,,2,OnePlus 一加,Smartphone,Pro,8GB+256GB,未知,8GB+256GB
Xiaomi 14 Pro,小米,岩石青 16+1T,,2,Xiaomi 小米,Smartphone,Xiaomi 14 Pro,未知+1024GB,未知,未知+1024GB
MatePad Pro 2024款,华为,13.2英寸 12GB+512GB WiFi版 曜金黑,,3,Huawei 华为,Tablet,MatePad Pro 2024,12GB+512GB,未知,12GB+512GB
荣耀 Magic6 Pro,荣耀,海湖青 16+512G 5G全网通,,3,Honor 荣耀,Smartphone,Magic6 Pro,512GB+5GB,未知,512GB+5GB
vivo X100 Ultra,vivo,白月光 16+1T 专属版,,6,VIVO,Smartphone,vivo X100 Ultra,未知+1024GB,未知,未知+1024GB
Apple Watch Ultra 2,Apple,S/M 橙配米色野径回环式表带 钛金属表壳 49MM 蜂窝+GPS版,,3,Apple 苹果,Smartphone,Apple Watch Ultra 2,未知,未知,未知
iPhone 15 Pro Max（专区专享）,苹果,iPhone 15 Pro Max（专区专享）/5G全网通/256G,蓝色钛金属,2,Apple 苹果,Smartphone,iPhone 15 Pro,未知+5GB,蓝色,未知+5GB
iPhone 15（专区专享）,苹果,iPhone 15（专区专享）/5G全网通/256G,粉色,1,Apple 苹果,Smartphone,iPhone 15,未知+5GB,粉色,未知+5GB
iPhone 15 Pro Max（专区专享）,苹果,iPhone 15 Pro Max（专区专享）/5G全网通/256G,白色钛金属,3,Apple 苹果,Smartphone,iPhone 15 Pro,未知+5GB,白色,未知+5GB
iPhone 15（专区专享）,苹果,iPhone 15（专区专享）/5G全网通/128G,黑色,2,Apple 苹果,Smartphone,iPhone 15,未知+5GB,黑色,未知+5GB
荣耀 Magic6 Pro,荣耀,祁连雪 16+512G 5G全网通,,3,Honor 荣耀,Smartphone,Magic6 Pro,512GB+5GB,未知,512GB+5GB
华为 WATCH GT 4,华为,山茶棕 真皮表带 GT 4 （46mm）,,4,Huawei 华为,Smartwatch,WATCH GT 4,未知,未知,未知
iPad 2022款,Apple,10.9 英寸 WiFi版 256G 银色,,3,Apple 苹果,Smartphone,iPad 2022,未知+256GB,未知,未知+256GB
Apple Watch SE 2023款,Apple,午夜色运动型表带 M/L GPS + 蜂窝网络 铝金属表壳 44mm,,2,Apple 苹果,Smartphone,Apple Watch SE 2023,未知,未知,未知
华为 Mate 60 RS,华为,瑞红 16+512G,,2,Huawei 华为,Smartphone,Mate 60,未知+512GB,未知,未知+512GB
vivo X100 Ultra,vivo,白月光 专属版 16+512G,,3,VIVO,Smartphone,vivo X100 Ultra,未知+512GB,未知,未知+512GB
iPad Air 2024款 13英寸,Apple,WiFi版 256G 紫色,,3,Apple 苹果,Smartphone,iPad Air 2024,未知+256GB,未知,未知+256GB
魅族 21,魅族,魅族白 12+256G,,1,Meizu 魅族,Smartphone,21,未知+256GB,未知,未知+256GB
MacBook Air 2024款,Apple,M3/8+8核/8G+256G 13.6英寸 午夜色,,2,Apple 苹果,Computer,MacBook Air 2024,8GB+256GB,未知,8GB+256GB
iPhone 15 Pro,Apple,黑色钛金属 512G,,11,Apple 苹果,Smartphone,iPhone 15 Pro,未知+512GB,未知,未知+512GB
华为 MatePad Pro 2023款,华为,12GB+512GB WIFI版 13.2英寸 曜金黑,,1,Huawei 华为,Tablet,MatePad Pro 2023,12GB+512GB,未知,12GB+512GB
iPad 2022款,Apple,10.9 英寸 WiFi版 64G 银色,,2,Apple 苹果,Smartphone,iPad 2022,未知+64GB,未知,未知+64GB
HUAWEI MateBook 14 2024款,华为,Ultra 5/16GB/512GB 皓月银,,2,Huawei 华为,Computer,HUAWEI MateBook 14,未知+16GB,未知,未知+16GB
荣耀手环 7,荣耀,标准版 幻夜黑,,1,Honor 荣耀,Smartphone,7,未知,未知,未知
华为 MateBook 16s 2023,华为,i9-13900H/32G/1T/锐炬Xe/触屏/16英寸 深空灰,,1,Huawei 华为,Computer,MateBook 16,未知+32GB,未知,未知+32GB
华为 WATCH GT 4,华为,曜石黑 氟橡胶表带 GT 4 （46mm）,,2,Huawei 华为,Smartwatch,WATCH GT 4,未知,未知,未知
三星 Galaxy S24 Ultra,三星,钛暮紫 12+512G,,1,Samsung 三星,Smartphone,Galaxy S24 Ultra,未知+512GB,未知,未知+512GB
HUAWEI MateBook 14 2024款,华为,Ultra 7/32GB/1TB 深空灰,,1,Huawei 华为,Computer,HUAWEI MateBook 14,未知+32GB,未知,未知+32GB
华硕 ROG枪神8,华硕,i9-14900HX/16G/1T/RTX4060/16英寸 黑色,,1,Asus 华硕,Smartphone,ROG,未知+16GB,未知,未知+16GB
vivo X100s Pro,vivo,白月光 专属版 16+512G,,4,VIVO,Smartphone,vivo X100,未知+512GB,未知,未知+512GB
MacBook Air 2024款,Apple,M3/8+10核/16G+512G 13.6英寸 星光色,,1,Apple 苹果,Computer,MacBook Air 2024,16GB+512GB,未知,16GB+512GB
华为 Mate 60,华为,Mate 60 雅川青 标准版 12+512G,,5,Huawei 华为,Smartphone,Mate 60,未知+512GB,未知,未知+512GB
vivo S19,vivo,桃花扇 8+256G,,1,VIVO,Smartphone,vivo S19,未知+256GB,未知,未知+256GB
MatePad Pro 2024款,华为,12GB+512GB（SIM卡版） 曜金黑,,2,Huawei 华为,Tablet,MatePad Pro 2024,12GB+512GB,未知,12GB+512GB
vivo iQOO 12,vivo,16+1T  传奇版,,2,VIVO,Smartphone,vivo iQOO 12,未知+1024GB,未知,未知+1024GB
vivo X100s Pro,vivo,辰夜黑 专属版 12+256G,,2,VIVO,Smartphone,vivo X100,未知+256GB,未知,未知+256GB
华硕(ASUS)无畏16,华硕,R7-5800H/16G/512GSSD/锐炬Xe/银色,,1,Asus 华硕,Computer,ASUS,未知+16GB,未知,未知+16GB
荣耀 Magic6,荣耀,祁连雪 5G全网通 12+256G,,1,Honor 荣耀,Smartphone,Magic6,未知+5GB,未知,未知+5GB
MatePad Pro 2024款,华为,13.2英寸 雅川青 12GB+256GB WiFi版,,3,Huawei 华为,Tablet,MatePad Pro 2024,12GB+256GB,未知,12GB+256GB
机械革命 耀世15 Pro 2024,机械革命（MECHREVO）,i7-14650HX/32G/1T/RTX4060/15.3英寸 澜海黑,,2,MECHREVO 机械革命,Smartphone,i7-14650HX/32G/1T/RTX4060/15.3英寸 澜海黑,未知+32GB,未知,未知+32GB
华硕 ROG幻16 Air 2024,华硕,Ultra 9 185H/32GB/1TB/RTX4060/16英寸/2.5K/240Hz 铂月白,,3,Asus 华硕,Smartphone,ROG,未知+32GB,未知,未知+32GB
vivo iQOO Z9 Turbo,vivo,山野青 16+256G,,2,VIVO,Smartphone,vivo iQOO Z9,未知+256GB,未知,未知+256GB
华硕 天选5 Pro,华硕,日蚀灰 i9-13980HX/16G/1T/RTX4060/16英寸,,4,Asus 华硕,Computer,日蚀灰 i9-13980HX/16G/1T/RTX4060/16英寸,未知+16GB,未知,未知+16GB
三星 Galaxy S24+,三星,雅岩灰 12+256G,,1,Samsung 三星,Smartphone,Galaxy S24,未知+256GB,未知,未知+256GB
Redmi K70,红米,浅茄紫 12+256G,,1,Xiaomi 小米,Smartphone,Redmi K70,未知+256GB,未知,未知+256GB
vivo X100s,vivo,白月光 专属版 12+256G,,3,VIVO,Smartphone,vivo X100,未知+256GB,未知,未知+256GB
Apple Watch Series?9,Apple,星光色运动型表带 M/L 铝金属表壳 41mm GPS版,,1,Apple 苹果,Smartphone,Apple Watch Series,未知,未知,未知
Apple Watch Series?9,Apple,午夜色运动型表带 S/M 铝金属表壳 41mm GPS版,,2,Apple 苹果,Smartphone,Apple Watch Series,未知,未知,未知
MatePad Pro 2024款,华为,13.2英寸 罗兰紫 12GB+256GB WiFi版,,1,Huawei 华为,Tablet,MatePad Pro 2024,12GB+256GB,未知,12GB+256GB
iPad Air 2024款 11英寸,Apple,星光色 WiFi版 128G,,6,Apple 苹果,Smartphone,iPad Air 2024,未知+128GB,未知,未知+128GB
华硕 ROG魔霸7 Plus（准新机）,华硕,R9-7845HX/16G/1T/RTX4070/17.3英寸 黑色,,2,Asus 华硕,Smartphone,ROG,未知+16GB,未知,未知+16GB
联想 拯救者Y7000P 2024,联想,i7-14700HX/16G/1T/RTX4070/16英寸 月蚀灰,,11,Lenovo 联想,Computer,i7-14700HX/16G/1T/RTX4070/16英寸 月蚀灰,未知+16GB,未知,未知+16GB
华为 Mate X5,华为,16GB+512GB 典藏版  羽砂黑,,3,Huawei 华为,Smartphone,Mate X5,16GB+512GB,未知,16GB+512GB
荣耀X50 GT,荣耀,银翼战神 16+512G 5G全网通,,4,Honor 荣耀,Smartphone,X50,512GB+5GB,未知,512GB+5GB
Apple Watch SE 2023款,Apple,星光色运动型表带 GPS S/M 铝金属表壳 44mm,,1,Apple 苹果,Smartphone,Apple Watch SE 2023,未知,未知,未知
荣耀 X60i,荣耀,云水蓝 12+512G,,1,Honor 荣耀,Smartphone,X60,未知+512GB,未知,未知+512GB
华硕 天选4,华硕,i7-13620H/16G/512GSSD/RTX4060 8G独显/144Hz/100% sRGB/日蚀灰,,2,Asus 华硕,Computer,i7-13620H/16G/512GSSD/RTX4060 8G独显/144Hz/100% sRGB/日蚀灰,未知+16GB,未知,未知+16GB
魅族21 Note,魅族,无界黑 16+256G,,2,Meizu 魅族,Smartphone,Note,未知+256GB,未知,未知+256GB
荣耀X50 GT,荣耀,5G全网通 12+256G  幻夜黑,,8,Honor 荣耀,Smartphone,X50,未知+5GB,未知,未知+5GB
iPhone 15,Apple,256G 黑色,,17,Apple 苹果,Smartphone,iPhone 15,未知+256GB,未知,未知+256GB
星Book14 2023款,惠普（HP）,R5-7520U/16G/512G SSD/锐炬Xe/14英寸 银色,,1,HP 惠普,Computer,Book14,未知+16GB,未知,未知+16GB
Xiaomi 14 Pro,小米,16+512G 黑色,,8,Xiaomi 小米,Smartphone,Xiaomi 14 Pro,未知+512GB,未知,未知+512GB
一加 Ace 3,一加,月海蓝 16+512G 5G全网通,,1,OnePlus 一加,Smartphone,Ace 3,512GB+5GB,未知,512GB+5GB
Xiaomi Pad 6 Max 14,小米,12GB+256GB 银色,,1,Xiaomi 小米,Smartphone,Xiaomi Pad 6 Max,12GB+256GB,未知,12GB+256GB
华为 nova 12 活力版,华为,12号色 256G,,2,Huawei 华为,Smartphone,nova 12,未知+256GB,未知,未知+256GB
Redmi K70 Pro,红米,竹月蓝 16+256G,,1,Xiaomi 小米,Smartphone,Redmi K70 Pro,未知+256GB,未知,未知+256GB
华为 FreeBuds Pro 3,华为,雅川青,,3,Huawei 华为,Earphone,FreeBuds Pro 3,未知,未知,未知
vivo X100 Ultra,vivo,钛色 16+1T 专属版,,2,VIVO,Smartphone,vivo X100 Ultra,未知+1024GB,未知,未知+1024GB
荣耀平板X8 Pro,荣耀,8GB+256GB 星空灰,,1,Honor 荣耀,Smartphone,X8 Pro,8GB+256GB,未知,8GB+256GB
iPad Pro 2024款 11英寸,Apple,标准玻璃 WiFi版 512G 银色,,3,Apple 苹果,Smartphone,iPad Pro 2024,未知+512GB,未知,未知+512GB
华为MatePad Air 2023款,华为,12GB+512GB 全网通版  曜石黑,,1,Huawei 华为,Tablet,MatePad Air 2023,12GB+512GB,未知,12GB+512GB
OPPO Find X7,OPPO,大漠银月 16+512G,,1,OPPO,Smartphone,OPPO Find X7,未知+512GB,未知,未知+512GB
联想 小新Pro16 2024,联想,鸽子灰 Ultra 5 125H/32G/1T/锐炫/16英寸,,3,Lenovo 联想,Computer,鸽子灰 Ultra 5 125H/32G/1T/锐炫/16英寸,未知+32GB,未知,未知+32GB
荣耀 Magic6,荣耀,绒黑色 5G全网通 12+256G,,1,Honor 荣耀,Smartphone,Magic6,未知+5GB,未知,未知+5GB
华为 Mate 60 RS,华为,16+1T 玄黑,,4,Huawei 华为,Smartphone,Mate 60,未知+1024GB,未知,未知+1024GB
华为 Mate 60 Pro,华为,12+1T 白沙银 标准版,,4,Huawei 华为,Smartphone,Mate 60 Pro,未知+1024GB,未知,未知+1024GB
vivo Pad3 Pro,vivo,寒星灰 8GB+256GB,,1,VIVO,Smartphone,vivo Pad3 Pro,8GB+256GB,未知,8GB+256GB
华为 Pura 70 Ultra,华为,公开零售版 星芒白 16+512G,,2,Huawei 华为,Smartphone,Pura 70 Ultra,未知+512GB,未知,未知+512GB
MacBook Air 2024款,Apple,M3/8+10核/16G+512G 15.3英寸 午夜色,,1,Apple 苹果,Computer,MacBook Air 2024,16GB+512GB,未知,16GB+512GB
Xiaomi 14,小米,雪山粉 16+1T,,1,Xiaomi 小米,Smartphone,Xiaomi 14,未知+1024GB,未知,未知+1024GB
HUAWEI MateBook 14 2024款,华为,Ultra 5/16GB/512GB 深空灰,,3,Huawei 华为,Computer,HUAWEI MateBook 14,未知+16GB,未知,未知+16GB
华硕 ROG枪神7 Plus,华硕,i9-13980HX/16G/1TBSSD/RTX4060 8G独显/240Hz/2.5K/黑色,,1,Asus 华硕,Smartphone,ROG,未知+16GB,未知,未知+16GB
OPPO Reno12 Pro,OPPO,16+256G 香槟金,,4,OPPO,Smartphone,OPPO Reno12 Pro,未知+256GB,未知,未知+256GB
华为 Pura 70 Pro+,华为,公开零售版 弦乐白 16+512G,,2,Huawei 华为,Smartphone,Pura 70 Pro,未知+512GB,未知,未知+512GB
