机型数据,数量
荣耀荣耀magic6pro海湖青16+512g5g全网通,7
vivovivox100ultra白月光16+1t专属版,6
appleapplewatchultra2s/m橙配米色野径回环式表带钛金属表壳49mm蜂窝+gps版,4
苹果iphone15（专区专享）iphone15（专区专享）/5g全网通/256g,4
苹果iphone15（专区专享）iphone15（专区专享）/5g全网通/128g,3
荣耀荣耀magic6pro祁连雪16+512g5g全网通,9
华为华为watchgt4山茶棕真皮表带gt4（46mm）,7
appleipad2022款10.9英寸wifi版256g银色,5
appleapplewatchse2023款午夜色运动型表带m/lgps+蜂窝网络铝金属表壳44mm,2
华为华为mate60rs瑞红16+512g,7
vivovivox100ultra白月光专属版16+512g,3
appleipadair2024款13英寸wifi版256g紫色,5
魅族魅族21魅族白12+256g,2
applemacbookair2024款m3/8+8核/8g+256g13.6英寸午夜色,5
appleiphone15pro黑色钛金属512g,15
华为华为matepadpro2023款12gb+512gbwifi版13.2英寸曜金黑,4
appleipad2022款10.9英寸wifi版64g银色,2
华为huaweimatebook142024款ultra5/16gb/512gb皓月银,7
荣耀荣耀手环7标准版幻夜黑,1
华为华为matebook16s2023i9-13900h/32g/1t/锐炬xe/触屏/16英寸深空灰,1
华为华为watchgt4曜石黑氟橡胶表带gt4（46mm）,6
三星三星galaxys24ultra钛暮紫12+512g,3
华为huaweimatebook142024款ultra7/32gb/1tb深空灰,5
华硕华硕rog枪神8i9-14900hx/16g/1t/rtx4060/16英寸黑色,8
vivovivox100spro白月光专属版16+512g,4
applemacbookair2024款m3/8+10核/16g+512g13.6英寸星光色,3
华为华为mate60mate60雅川青标准版12+512g,11
vivovivos19桃花扇8+256g,1
华为matepadpro2024款12gb+512gb（sim卡版）曜金黑,2
vivovivoiqoo1216+1t传奇版,4
vivovivox100spro辰夜黑专属版12+256g,5
华硕华硕(asus)无畏16r7-5800h/16g/512gssd/锐炬xe/银色,4
荣耀荣耀magic6祁连雪5g全网通12+256g,6
华为matepadpro2024款13.2英寸雅川青12gb+256gbwifi版,4
机械革命（mechrevo）机械革命耀世15pro2024i7-14650hx/32g/1t/rtx4060/15.3英寸澜海黑,7
华硕华硕rog幻16air2024ultra9185h/32gb/1tb/rtx4060/16英寸/2.5k/240hz铂月白,3
vivovivoiqooz9turbo山野青16+256g,5
华硕华硕天选5pro日蚀灰i9-13980hx/16g/1t/rtx4060/16英寸,16
三星三星galaxys24+雅岩灰12+256g,1
红米redmik70浅茄紫12+256g,1
vivovivox100s白月光专属版12+256g,7
appleapplewatchseries?9星光色运动型表带m/l铝金属表壳41mmgps版,3
appleapplewatchseries?9午夜色运动型表带s/m铝金属表壳41mmgps版,5
华为matepadpro2024款13.2英寸罗兰紫12gb+256gbwifi版,2
appleipadair2024款11英寸星光色wifi版128g,15
华硕华硕rog魔霸7plus（准新机）r9-7845hx/16g/1t/rtx4070/17.3英寸黑色,2
联想联想拯救者y7000p2024i7-14700hx/16g/1t/rtx4070/16英寸月蚀灰,30
华为华为matex516gb+512gb典藏版羽砂黑,19
荣耀荣耀x50gt银翼战神16+512g5g全网通,5
appleapplewatchse2023款星光色运动型表带gpss/m铝金属表壳44mm,1
荣耀荣耀x60i云水蓝12+512g,1
华硕华硕天选4i7-13620h/16g/512gssd/rtx40608g独显/144hz/100%srgb/日蚀灰,7
魅族魅族21note无界黑16+256g,6
荣耀荣耀x50gt5g全网通12+256g幻夜黑,9
appleiphone15256g黑色,97
惠普（hp）星book142023款r5-7520u/16g/512gssd/锐炬xe/14英寸银色,2
小米xiaomi14pro16+512g黑色,35
一加一加ace3月海蓝16+512g5g全网通,1
小米xiaomipad6max1412gb+256gb银色,1
华为华为nova12活力版12号色256g,7
红米redmik70pro竹月蓝16+256g,1
华为华为freebudspro3雅川青,13
vivovivox100ultra钛色16+1t专属版,5
荣耀荣耀平板x8pro8gb+256gb星空灰,1
appleipadpro2024款11英寸标准玻璃wifi版512g银色,8
华为华为matepadair2023款12gb+512gb全网通版曜石黑,2
oppooppofindx7大漠银月16+512g,1
联想联想小新pro162024鸽子灰ultra5125h/32g/1t/锐炫/16英寸,7
荣耀荣耀magic6绒黑色5g全网通12+256g,2
华为华为mate60rs16+1t玄黑,5
华为华为mate60pro12+1t白沙银标准版,10
vivovivopad3pro寒星灰8gb+256gb,2
华为华为pura70ultra公开零售版星芒白16+512g,4
applemacbookair2024款m3/8+10核/16g+512g15.3英寸午夜色,4
小米xiaomi14雪山粉16+1t,4
华为huaweimatebook142024款ultra5/16gb/512gb深空灰,6
华硕华硕rog枪神7plusi9-13980hx/16g/1tbssd/rtx40608g独显/240hz/2.5k/黑色,1
oppoopporeno12pro16+256g香槟金,9
华为华为pura70pro+公开零售版弦乐白16+512g,5
一加一加ace316+1t星辰黑5g全网通,1
oppoopporeno12乌木黑12+256g,14
华为华为novaflip256g零度白,9
华为华为matex516gb+1tb典藏版幻影紫,9
vivovivoiqooz9曜夜黑12+512g,1
华为华为mate60mate60专属版雅丹黑12+256g,7
华为华为pura70pro极速发货雪域白12+256g,33
华为华为nova12pro曜金黑256g,1
vivovivoxfold3薄翼黑16+512g,3
华为matepadpro2024款13.2英寸晶钻白12gb+256gbwifi版,6
华硕华硕rog枪神7i9-13980hx/16g/1tbssd/rtx40708g独显/240hz/2.5k/黑色,1
oppoopporeno12pro银幻紫16+512g,16
三星三星galaxyzflip4哥特太空8+256g,1
红米redmik7016+256g墨羽,5
vivovivos19烟雨青12+512g,5
appleiphone13标准版（iphone13）粉色全网通-国行版128g,2
荣耀荣耀magic6绒黑色16+256g5g全网通,1
vivovivox100s白月光专属版16+256g,7
vivovivos19桃花扇12+256g,3
努比亚（nubia）红魔9pro+氘锋透明银翼16+512g5g全网通,2
机械革命（mechrevo）机械革命翼龙15pro2024云涧白r7-8845h/32g/1t/rtx4060/15.3英寸,2
appleiphone15plus256g蓝色,14
红米redmik70墨羽12+256g,4
oppoopporeno12pro银幻紫16+256g,17
华为华为mate60mate60白沙银标准版12+256g,11
小米小米mixflip幻影紫12+512g,5
红米redmik7016+256g晴雪,2
oppooppofindn3flip薄雾玫瑰12+256g,3
oppooppofindx7ultra海阔天空16+512g,10
appleapplewatchse2023款风暴蓝色运动型表带gpsm/l铝金属表壳40mm,1
华为华为pura70极速配送樱玫红12+256g,3
vivovivoxfold3轻羽白16+256g,9
appleiphone15蓝色512g,1
荣耀荣耀200天海青12+512g,2
appleiphone15promax1t蓝色钛金属,6
华为华为matepadpro2023款12gb+256gbwifi版13.2英寸曜金黑,2
小米xiaomi14pro16+1t黑色,11
三星三星galaxyzfold6冷夜蓝12+1t,2
appleiphone14plus标准版(iphone14plus）星光色128g,1
华为华为mate60pro南糯紫标准版12+512g,15
华为华为mate60mate60雅川青标准版12+256g,15
联想联想拯救者r70002024r7-8745h/16g/512g/rtx4060/15.6英寸钛晶灰,13
一加一加ace3pro钛空镜银12+256g,43
华为华为matepad112023款8gb+256gbwifi版晶钻白,1
华为华为手环b7皮表带苍穹灰时尚版,1
appleipad2021款wifi版256g深空灰色10.2英寸,5
华为华为畅享70雪域白128g,2
华硕（asus)rog魔霸7plusr9-7845hx/16g/1tb/rtx40708g独显/240hz/2.5k17.3英寸黑色,2
oppoopporeno12pro乌木黑16+512g,14
华硕rog游戏手机8pro曜石黑16+512g,2
小米xiaomi14pro16+1t白色,6
荣耀荣耀x50全新典雅黑标准版16gb+512gb,4
vivovivox100s青云专属版16+512g,21
小米xiaomi14岩石青16+1t,4
华为华为matepad112023款8gb+128gbwifi版曜石黑,1
华为华为pocket2洛可可白12+256g,14
华为华为matex516gb+512gb典藏版幻影紫,19
华为华为畅享70pro256g翡冷翠,10
三星三星w24纳多灰16+1t,13
华为华为畅享70pro曜金黑256g,13
appleipadpro2024款11英寸标准玻璃深空黑wifi版512g,5
红米红米turbo3墨晶12+256g,1
魅族魅族21note无界黑16+512g,2
vivovivoiqooneo9spro星曜白12+512g,7
荣耀荣耀magic6pro祁连雪16+1t5g全网通,3
华硕华硕rog幻16air2024ultra9185h/32gb/1tb/rtx4070/16英寸/2.5k/240hz铂月白,8
荣耀荣耀x50gt16+256g5g全网通幻夜黑,4
联想(lenovo)【黑神话悟空】联想拯救者y7000pi7-14650h/16g/1tssd/4050-6g/16英寸,1
apple苹果15pm【首月1元】512gb,169
apple苹果15pm【首月1元】256gb,184
apple苹果15plus【首月1元】256gb,2
荣耀（honor）荣耀magicv3折叠屏手机第三代青海湖电池16gb+512gb,5
华为（huawei）huaweipura70ultra超聚光伸缩摄像头超高速风驰闪拍双卫星通信16gb+512gb,4
apple全新applewatchultra2年度爆款全新正品顺丰发货49毫米gps+蜂窝网络,1
appleipad2022款wifi版64g标准版（ipad2022）10.9英寸蓝色,4
oppooppofindx7大漠银月16+256g,2
荣耀荣耀magicbookart14ultra5125h/16g/1t/锐炫/14.6英寸夏日橄榄,1
vivovivoy300pro羊脂白12+256g,7
华为华为mate60mate60专属版雅丹黑12+512g,11
华硕华硕rog魔霸新锐2024i9-13980hx/16g/1t/rtx4060/16英寸黑色,10
appleiphone15plus黑色128g,27
appleapplewatchseries?9星光色运动型表带s/m铝金属表壳蜂窝+gps版41mm,2
华为华为pura70pro极速发货羽砂黑12+256g,28
红米红米k70至尊版冰璃蓝16+512g,9
华为华为mate60mate60南糯紫标准版12+512g,2
appleipad2022款wifi版64g标准版（ipad2022）10.9英寸粉色,13
vivovivox100s青云16+1t专属版,6
华为华为pura70公开零售版雪域白12+256g,8
华为华为mate60pro雅川青标准版12+256g,81
华为华为pocket2大溪地灰12+512g,5
vivovivoy300pro12+512g墨玉黑,5
华硕华硕天选air2024r7-8845h/16g/1t/rtx4060/14英寸月光银,2
红米红米k70至尊版晴雪白12+512g,17
vivovivos19桃花扇12+512g,4
红米红米k70至尊版晴雪白16+1t,16
荣耀荣耀200pro珊瑚粉16+1t,1
applemacbookair2024款m3/8+10核/8g+512g13.6英寸银色,2
applemacbookair2024款m3/8+10核/8g+512g13.6英寸午夜色,2
appleipad2022款10.9英寸粉色wifi版64g,3
applemacbookpro2023款m3/8+10核/8g+1tb/14英寸银色,2
荣耀荣耀magic6祁连雪16+512g5g全网通,2
华为华为matepadpro12.6英寸8gb+256gbwifi版曜金黑,2
惠普（hp）惠普光影精灵10陨石黑i7-14650hx/16g/1t/rtx4060/16.1英寸,1
联想联想小新pro142024r7-8845h/16g/1t/集显/14英寸鸽子灰,4
appleipad2022款10.9英寸粉色wifi版256g,4
华为huaweimatebook142024款原野绿ultra7/32gb/1tb,1
红米红米k70至尊版冰璃蓝16+1t,7
applemacbookair2024款m3/8+10核/8g+512g15.3英寸深空灰色,1
华为huaweimatebook142024款原野绿ultra5/32gb/1tb,5
appleipadair2024款13英寸wifi版512g紫色,3
appleapplewatchse2023款午夜色运动型表带gpss/m铝金属表壳44mm,1
华为华为watch4pro蔚蓝地球复合表带,13
华为华为matepadair2023款8gb+256gbwifi版曜石黑,1
appleapplewatchultra2均码橙色海洋表带钛金属表壳49mm蜂窝+gps版,15
appleapplewatchseries?9风暴蓝色运动型表带m/l铝金属表壳41mmgps版,1
机械革命（mechrevo）机械革命蛟龙16kr7-7735h/rtx4060/16g/1tb/16英寸/qhd100色域/165hz灰色,2
vivovivox100ultra16+1t专属版深空灰,4
荣耀荣耀magic6pro海湖青5g全网通12+256g,3
华为华为mate60pro12+1t雅川青标准版,8
华为华为pocket2大溪地灰12+256g,4
华为华为matebookxpro2024宣白u7/32gb/1tb,2
华硕华硕天选air2024ai9hx370/16g/1t/rtx4060/14英寸日蚀灰,1
荣耀荣耀magicvs3绒黑色12+256g,5
一加一加ace3pro钛空镜银16+256g,10
华硕华硕天选4i7-12700h/16g/512gssd/rtx40608g独显/144hz/100%srgb/日蚀灰,2
红米红米k70至尊版墨羽黑12+512g,11
appleipad2022款wifi版256g标准版（ipad2022）10.9英寸银色,15
小米小米平板6pro2023款12gb+256gb11英寸黑色,2
vivovivoiqooneo9spro+格斗黑12+256g,1
魅族魅族21note魅族白16+256g,11
小米小米pad6spro12.412gb+512gb云峰蓝,2
联想联想拯救者r9000p2022（二手）r7-6800h/16g/512g/rtx3060/16英寸钛晶灰,1
华硕（asus）华硕天选5r7-8845h/16g/512g/rtx4060/15.6英寸魔幻青,1
联想（lenovo）联想拯救者r9000p2023款r9-7945hx/16g/1t/rtx4060/16英寸钛晶灰,9
华为华为matex5羽砂黑12+512g,51
oppooppofindn3赤壁丹霞16+1t,2
vivovivox100s青云专属版16+256g,5
vivovivoiqooneo9spro+buff蓝16+256g,3
荣耀荣耀magic6pro祁连雪5g全网通12+256g,5
oppoopporeno12柔和桃12+256g,11
华为华为matepadpro12.6英寸12gb+256gbwifi版锦白,2
vivovivoiqoo12pro16+512g赛道版,3
华硕华硕a豆142024i5-1335u/16gb/1tb/集显/14英寸树莓蜜粉,2
荣耀荣耀平板9pro8gb+256gb星空灰,1
联想（lenovo）联想小新padpro2023款鸽子灰8gb+128gb,1
华硕华硕无畏pro152024ultra7155h/32g/1t/锐炫/15.6英寸蓝色,2
vivovivoiqoo1216+512g传奇版,7
小米xiaomi14雪山粉12+256g,15
努比亚（nubia）红魔9pro+氘锋透明暗夜16+512g5g全网通,1
小米xiaomi14岩石青16+512g,10
oppooppofindx7海阔天空16+256g,3
小米小米pad6spro12.412gb+256gb黑色,6
荣耀荣耀200pro月影白12+256g,3
华为华为matepadse2023款8gb+128gbwifi版海岛蓝,1
荣耀荣耀magic6pro绒黑色16+512g5g全网通,4
华为华为matex516gb+1tb典藏版青山黛,4
华为华为mate60pro+宣白16+1t,1
vivovivoy300pro羊脂白12+512g,7
雷神(thunderobot)雷神猎刃162024i9-14900hx/16g/1t/rtx4070/16英寸灰色,4
惠普（hp）惠普星bookpro132023r7-7735u/16g/1tb/集显/13.3英寸陶瓷白,1
vivovivoiqooz9turbo曜夜黑16+256g,4
realmerealmegt6光年白16+256g,2
华硕华硕rog幻16air2024ultra9185h/32gb/1tb/rtx4060/16英寸/2.5k/240hz日蚀灰,4
华为华为畅享70曜金黑128g,5
vivovivox100spro钛色16+1t专属版,5
vivovivox100s白月光16+1t专属版,6
联想（lenovo）联想小新pad2024款8gb+128gb鸽子灰11英寸,2
机械革命（mechrevo）机械革命旷世g16pro2024i7-14650hx/16g/1t/rtx4060/16英寸灰色,2
联想（lenovo）联想小新152024款霜雪银i5-13420h/16g/512g/集显/15.3英寸,1
vivovivoiqooneo9spro+星曜白12+512g,2
一加一加ace3pro钛空镜银24+1t,13
华为华为mate60pro+宣白16+512g,14
oppoopporeno12乌木黑16+256g,5
华为华为mate60rs玄黑16+512g,9
vivovivoiqoo1212+512g传奇版,2
vivovivox100s专属版16+256g深空灰,10
三星三星galaxyzflip5云影灰标准版8+256g,7
华为华为畅享70pro雪域白256g,10
华为华为pura70公开零售版羽砂黑12+1t,3
华为华为matepadse2023款8gb+128gbwifi版曜石黑,3
vivovivoiqooneo9spro+buff蓝16+512g,2
荣耀荣耀magic6pro流云紫16+512g5g全网通,4
戴尔（dell)戴尔g167630i9-13900hx/16g/1t/rtx4060/16英寸/240hz/背光机械键盘皓影白,1
appleiphone15256g黄色,2
联想（lenovo）联想小新152024款i5-13420h/16g/512g/集显/15.3英寸烟霞紫,1
魅族魅族21pro12+256g冰川蓝,3
华为华为nova12樱语白256g,2
appleipadair2024款11英寸wifi版512g深空灰,3
联想（lenovo）联想拯救者y7002023款钛晶灰12gb+256gb,17
荣耀荣耀x50gt银翼战神16+256g5g全网通,5
vivovivoiqoo1212+512g赛道版,2
vivovivox100spro钛色专属版12+256g,6
华为华为pura70ultra极速发货香颂绿16+1t,1
三星三星galaxys24ultra12+1t钛黑,3
vivovivoiqooz9山野青12+512g,1
华为华为matebookd162024i5-13500h/16g/1t/集显/16英寸深空灰,5
小米xiaomi14雪山粉16+512g,6
荣耀荣耀magic6祁连雪16+256g5g全网通,1
华为华为pura70ultra公开零售版星芒黑16+512g,1
华为华为pocket2洛可可白12+512g,11
华为matepadpro2024款13.2英寸晶钻白12gb+512gbwifi版,4
华为华为nova12pro樱语白256g,1
华为华为matepadpro2023款12gb+512gbwifi版13.2英寸雅川青,4
华为华为mate60pro+砚黑16+1t,2
appleapplewatchultra2小号橄榄色高山回环式表带钛金属表壳49mm蜂窝+gps版,1
努比亚（nubia）红魔9spro暗夜骑士12+512g,4
oppooppoa3pro天青12+512g,3
荣耀荣耀x50全新雨后初晴标准版12gb+256gb,5
红米redmik70竹月蓝12+256g,1
华硕华硕灵耀142023i9-13900h/16g/1tb/2.5k/ips/冰川银,1
努比亚（nubia）努比亚z60ultra领先版16+512g竞速黑,3
联想（lenovo）联想小新padpro2025舒视版大象灰8gb+256gb,1
华为华为matepadse2023款6gb+128gbwifi版海岛蓝,1
华为华为matebooke2023i7-1260u/16g/1t/锐炬xe/12.6英寸星云灰,2
荣耀荣耀magicvs3绒黑色16+1t,1
realmerealmegt6风暴紫16+512g,2
vivovivoy300pro金镶玉8+128g,1
华为华为pura70pro极速发货罗兰紫12+256g,8
联想联想geekprog50002024i7-13650hx/16g/512g/rtx4060/15.6英寸钛晶灰,1
一加一加ace3pro超跑瓷典藏版16+512g,18
荣耀荣耀平板x8pro8gb+128gb珊瑚紫,2
荣耀荣耀90gt星曜黑16+512g,1
魅族魅族21pro星夜黑16+512g,2
荣耀荣耀x50全新标准版8gb+256gb燃橙色,2
applemacbookair2024款m3/8+8核/8g+256g13.6英寸深空灰色,7
华为华为matebookd162024i7-13700h/16g/1t/集显/16英寸深空灰,5
华为华为watchgt2pro曜石黑,4
vivovivox100spro钛色专属版16+512g,6
appleipadpro2022款wifi版512g标准版(ipadpro2022)深空灰色11英寸,1
荣耀荣耀x50全新标准版勃朗蓝8gb+128gb,2
appleiphone15plus黑色512g,1
vivovivoxfold3pro轻羽白16+512g,5
vivovivoiqooneo9spro+格斗黑16+1t,1
appleiphone15plus粉色128g,7
联想联想小新pro162024ultra9185h/32g/1t/锐炫/16英寸鸽子灰,5
appleiphone15plus256g绿色,2
realmerealmegt6光年白12+256g,9
appleiphone14plus标准版(iphone14plus）紫色128g,3
华为华为mate60pro南糯紫标准版12+256g,15
荣耀荣耀vpurse雅黑色16+256g,1
vivovivopad3pro春潮蓝16gb+512gb,7
appleappleiphone15plus256g,3
努比亚（nubia）红魔9pro氘锋透明银翼5g全网通12+512g,4
vivovivoiqoo1216+512g赛道版,4
oppooppoa3静海黑12+512g,1
华为华为nova1212号色512g,2
机械革命（mechrevo）机械革命蛟龙15kr7-7435h/16g/512g/rtx4050/15.6英寸灰色,2
三星三星galaxyzflip5云影灰标准版8+512g,1
华为华为pocket2雅黑12+512g,2
appleapplewatchultra2大号橄榄色高山回环式表带钛金属表壳49mm蜂窝+gps版,3
华为华为mate60pro12+1t雅丹黑标准版,10
小米小米14ultra16+512g白色,8
vivovivox100ultra钛色专属版12+256g,4
oppoopporeno12乌木黑12+512g,5
三星三星galaxyzflip6星夜银12+256g,7
华为matepadpro2024款13.2英寸12gb+256gbwifi版曜金黑,3
一加一加平板pro8gb+256gb深空灰,3
oppoopporeno12千禧银12+512g,5
惠普（hp）惠普暗影精灵92023款i9-13900hx/16g/1tb固态/rtx4060/16.1英寸/240hz陨石黑,2
oppoopporeno12乌木黑16+512g,6
vivovivoy300pro钛色12+256g,5
vivovivoiqooneo9spro格斗黑12+512g,7
vivovivos19pro剑影灰8+256g,1
appleapplewatchultra2s/m蓝配黑色野径回环式表带钛金属表壳49mm蜂窝+gps版,3
vivovivoiqooz9turbo星芒白16+512g,6
红米红米k70至尊版冰璃蓝12+512g,10
华为华为mate60mate60白沙银标准版12+512g,3
oppooppofindx7星空黑16+512g,1
华为华为matebookxpro2024晴蓝u9/32gb/2tb,2
vivovivox100ultra白月光专属版12+256g,4
vivovivoy300pro金镶玉12+512g,5
华为华为mate60mate60雅丹黑标准版12+512g,7
荣耀荣耀200pro绒黑色16+1t,2
华硕华硕天选5pro日蚀灰i7-13650hx/16g/512g/rtx4060/16英寸,6
荣耀荣耀magicvflip鸢尾黑12+512g,3
vivovivoy300pro金镶玉12+256g,3
一加一加ace3v钛空灰12+256g,1
vivovivoy300pro12+256g墨玉黑,9
华硕华硕rog幻14air2024r9-8945hs/32gb/1tb/rtx4060/14英寸/2.8k/120hz铂月白,2
红米redmik70pro墨羽16+512g,4
华为华为pura70pro+公开零售版弦乐白16+1t,2
荣耀荣耀200月影白12+512g,1
华为华为matepadair2023款8gb+128gbwifi版云锦白,1
荣耀荣耀x50全新雨后初晴标准版8gb+256gb,5
小米小米14ultra12+256g黑色,5
vivovivoy300pro羊脂白8+256g,4
联想thinkbookplus17i7-12700h/16g/512g/集显/17.3英寸深灰色,1
applemacbookpro2023款m3/8+10核/8g+512g/14英寸银色,4
机械革命（mechrevo）机械革命蛟龙15kr5-6600h/16g/512g/rtx3050/15.6英寸灰色,3
appleipadair2024款13英寸星光色wifi版512g,1
华为华为畅享70pro翡冷翠128g,4
联想thinkbook16+2023i5-13500h/16g/512g/集显/16英寸苍岩灰,2
华为华为watch3pronew时尚款棕色真皮表带钛灰色,2
华硕（asus）华硕rog幻132023款r9-7940hs/16g/1t/rtx4050/13.4英寸星际黑,1
一加一加平板pro16gb+512gb深空灰,6
联想联想小新pro162024鸽子灰r7-8845h/32g/1t/集显/16英寸,3
荣耀荣耀magicvs3祁连雪12+256g,1
appleiphone16pro颜色随机256g,35
荣耀荣耀100月影白16+256g,1
荣耀荣耀x50全新标准版勃朗蓝8gb+256gb,1
三星三星galaxyzfold6冷夜蓝12+512g,1
三星三星galaxyzfold6星夜银12+512g,3
appleiphone16promax沙漠色钛金属256g,447
vivovivox100s16+1t专属版深空灰,4
appleiphone16promax沙漠色钛金属512g,173
appleiphone16pro颜色随机128g,15
红米redmik70pro晴雪16+512g,4
荣耀荣耀x50全新雨后初晴标准版16gb+512gb,3
荣耀荣耀magic6pro麦浪绿5g全网通12+256g,1
appleiphone16promax颜色随机256g,238
小米小米14ultra16+1t黑色,3
红米redminote13pro+浅梦空间16+512g,2
红米redmik70pro24+1t晴雪,2
appleiphone16promax颜色随机512g,80
appleipadair2024款13英寸wifi版512g深空灰,4
vivovivox100spro辰夜黑16+1t专属版,1
appleiphone16黑色128g,194
appleiphone16白色128g,160
appleiphone16pro沙漠色钛金属512g,40
appleiphone16promax黑色钛金属512g,153
努比亚（nubia）红魔9pro氘锋透明暗夜5g全网通12+256g,2
vivovivoy300pro钛色12+512g,4
appleapplewatchultra22024黑色海洋表带黑色钛金属表壳gps＋蜂窝版49mm,42
appleiphone16群青256g,66
appleiphone16promax白色钛金属256g,1260
一加一加ace3星辰黑16+512g5g全网通,5
appleiphone16promax颜色随机1t,24
appleiphone16pro颜色随机512g,6
小米小米pad6spro12.48gb+256gb黑色,1
荣耀荣耀x50全新典雅黑标准版12gb+256gb,7
oppooppoa3pro远山蓝12+512g,5
荣耀荣耀平板8标准版8gb+256gbwifi版曙光蓝,1
oppoopporeno12千禧银12+256g,9
华为华为matex516gb+512gb典藏版羽砂金,4
appleiphone15pro（99新）白色钛金属128g,20
华为华为matex5羽砂金12+512g,8
appleiphone16promax沙漠色钛金属1t,28
appleiphone16256g白色,137
惠普（hp）惠普星book152023i5-1340p/16g/1tb/锐炬xe/15.6英寸银色,3
appleairpods4(支持主动降噪)白色标配,95
appleiphone16promax白色钛金属512g,364
vivovivos19pro烟雨青8+256g,1
小米小米14ultra龙晶蓝16+1t,1
appleipadair2024款13英寸wifi版256g深空灰,3
华为华为pura70pro12+256g公开加锁版极速发货雪域白,18
vivovivos19pro千山翠12+256g,2
appleapplewatchseries10丹宁色运动型表带-m/l银色铝金属表壳gps42mm,39
appleiphone15pro（99新）原色钛金属128g,17
appleipad2022款wifi版64g标准版（ipad2022）10.9英寸银色,13
魅族魅族21pro16+512g冰川蓝,3
vivovivoiqooneo9spro星曜白16+1t,3
appleiphone16粉色128g,52
三星三星galaxyzflip6夏沫蓝12+256g,4
appleiphone16pro沙漠色钛金属256g,95
华为华为freebudspro3陶瓷白,3
appleiphone16256g黑色,151
appleiphone15pro（99新）原色钛金属256g,12
appleiphone16promax黑色钛金属256g,330
华为华为nova12pro曜金黑512g,2
appleiphone16pro白色钛金属128g,85
魅族魅族21pro月桂绿12+256g,2
appleiphone16深青128g,61
appleipadair2024款m2芯片apple/苹果新款平板电脑13英寸256gb无线局域网机型,2
appleipadair2024款m2芯片apple/苹果新款平板电脑11英寸128gb无线局域网机型,3
apple苹果15pm【首月1元】1tb,1
华为（huawei）huaweimatepadpro12.2英寸2024新款平板电脑wifi12gb+256gb柔光版,1
华为华为freeclip流光紫,7
appleiphone15promax（99新）白色钛金属256g,5
appleiphone16promax原色钛金属256g,1224
荣耀荣耀平板magicpad2星空黑8gb+256gb,1
appleairpods4白色标配,13
三星三星galaxyzflip6夏沫蓝12+512g,3
appleiphone15promax（99新）512g原色钛金属,4
华为华为watchgt4幻夜黑氟橡胶表带gt4（41mm）,5
vivovivoiqooneo9spro星曜白16+512g,9
华为华为mate60pro12+512g公开加锁版南糯紫标准版,2
appleiphone15promax（99新）黑色钛金属256g,6
appleiphone16pro沙漠色钛金属128g,42
荣耀荣耀x50gt16+512g5g全网通幻夜黑,1
联想thinkbook14+2024uitra7155h/32g/1t/锐炫/14.5英寸月神灰,1
华为华为mate60pro12+512g公开加锁版雅川青标准版,15
华硕华硕a豆142024i5-1335u/24gb/1tb/集显/14英寸栀子幻白,4
联想（lenovo）联想yogapro14s2023款i9-13900h/32g/1t/集显/14.5英寸/触控屏深空灰,1
华为华为mate60pro12+256g公开加锁版白沙银标准版,14
appleiphone16pro白色钛金属256g,207
荣耀荣耀magicv3苔原绿16+512g,13
华为华为pura70pro12+256g公开加锁版极速发货羽砂黑,44
华为华为畅享70翡冷翠128g,3
荣耀荣耀90gt燃速金12+256g,2
华为华为nova12活力版樱语白512g,3
机械革命（mechrevo）机械革命旷世g16proi9-13900hx/rtx4060/16g/1tb/16英寸/qhd100色域/240hz灰色,3
荣耀荣耀magicvflip鸢尾黑12+1t,1
appleiphone16plus256g黑色,17
appleiphone15promax（仅激活）原色钛金属512g,2
华为华为matepadpro12.6英寸12gb+256gbwifi版曜金黑,2
三星三星galaxys24雅岩灰8+256g,2
惠普（hp）惠普暗影精灵10暗影黑i7-13620h/16g/512g/rtx4060/16.1英寸,1
一加一加ace3pro绿野素青16+512g,8
appleiphone16promax黑色钛金属1t,21
华为华为mate60pro12+512g公开加锁版白沙银标准版,9
华为华为novaflip向新绿256g,7
苹果iphone15plus128g,4
苹果iphone15pro128g,12
oppoopporeno12柔和桃16+256g,5
appleiphone16pro黑色钛金属256g,67
华硕华硕a豆142024i5-1335u/16gb/1tb/集显/14英寸香草罗勒,9
沪上阿姨红茶大杯,7
华为华为pura70极速配送羽砂黑12+512g,2
appleapplewatchseries10丹宁色运动型表带-s/m银色铝金属表壳gps42mm,19
联想（lenovo）联想小新pad2024款8gb+128gb烟霞紫11英寸,5
vivovivopad3pro薄霞紫8gb+256gb,2
appleiphone16白色512g,13
机械革命（mechrevo）机械革命翼龙15pro2024苍墨绿r7-8845h/32g/1t/rtx4060/15.3英寸,2
appleiphone16深青256g,46
华为华为matex516gb+1tb典藏版羽砂白,5
appleiphone16plus粉色256g,7
vivovivoxfold3薄翼黑16+256g,4
红米redmik70pro24+1t墨羽,9
小米小米14ultra16+1t白色,4
努比亚（nubia）努比亚flip焦糖12+256g,1
华为华为pura70pro12+256g公开加锁版极速发货罗兰紫,13
appleiphone16pro颜色随机1t,1
机械革命（mechrevo）机械革命无界142023款r7-7735h/集显/16g/512g/14英寸银色,2
华硕华硕天选5proi7-13650hx/16g/1t/rtx4050/16英寸魔幻青,6
华为华为mate60pro12+1t公开加锁版雅丹黑标准版,4
魅族魅族21魅族白12+512g,1
