pro_title,pro_brand,pro_model,pro_color,数量,cleaned_title,standard_model
华为 MateBook E 2023,华为,i7-1260U/16G/512G/锐炬Xe/12.6英寸 雪域白,,2.0,华为 MateBook E 2023款,华为 MateBook E 2023
iPhone 15,Apple,粉色 256G,,12.0,iPhone 15,iPhone 15
联想 拯救者R7000（二手）,联想,幻影黑 R7-5800H/16G/512G/RTX3050/15.6英寸,,2.0,联想 拯救者R7000款,未匹配: 联想 拯救者R7000款
华为 Pura 70 Ultra,华为,公开零售版 摩卡棕 16+1T,,2.0,华为 Pura 70 Ultra,华为 Pura 70 Ultra
小米 MIX Fold4,小米,龙鳞纤维版 12+256G,,3.0,小米 X Fold4,小米 X Fold 4
OPPO A3 Pro,OPPO,天青 8+256G,,5.0,OPPO A3 Pro,OPPO A3 Pro
小米 MIX Flip,小米,12+256G 黑色,,6.0,小米 X Flip,未匹配: 小米 X Flip
MacBook Air 2024款,Apple,M3/8+8核/8G+256G 13.6英寸 星光色,,2.0,MacBook Air 2024款,MacBook Air 2024款
ThinkBook 16+ 2024,联想,UItra 5 125H/32G/1T/锐炫/16英寸 月神灰,,2.0,ThinkBook 16+ 2024款,联想 ThinkBook 16+ 2024款
vivo X100 Ultra,vivo,钛色 专属版 16+512G,,10.0,vivo X10 0 Ultra,vivo X100 Ultra
iPhone 14,Apple,标准版 (iPhone 14) 256G 紫色,,2.0,iPhone 14,iPhone 14
MacBook Air 2022款,Apple,M2/8+8核/8G+256G 13.6英寸 星光色,,3.0,MacBook Air 2022款,MacBook Air 2022款
vivo iQOO 12 Pro,vivo,16+1T  传奇版,,2.0,vivo iQOO 1 2 Pro,vivo iQOO 12 Pro
iPhone 13,Apple,标准版（iPhone 13） 午夜色 全网通-国行版 128G,,2.0,iPhone 13,iPhone 13
三星 Galaxy S24,三星,水墨黑 8+256G,,2.0,三星 Galaxy S24,三星 Galaxy S24
华硕 天选4,华硕,i7-13700H/16G/512SSD/RTX4060 8G独显/165Hz/100%DCI-P3/魔幻青,,6.0,华硕 天选4,华硕 天选 4
联想 拯救者Y9000P 2024,联想,冰魄白 i9-14900HX/32G/1T/RTX4070/16英寸,,4.0,联想 拯救者Y9000款P 2024款,未匹配: 联想 拯救者Y9000款P 2024款
华为 MateBook D16 2024,华为,i5-13420H/16G/1T/集显/16英寸 皓月银,,6.0,华为 MateBook D16 2024款,未匹配: 华为 MateBook D16 2024款
机械革命 耀世15 Pro 2024,机械革命（MECHREVO）,i7-14650HX/32G/1T/RTX4060/15.3英寸 云涧白,,3.0,机械革命 耀世15 Pro 2024款,未匹配: 机械革命 耀世15 Pro 2024款
MacBook Air 2024款,Apple,M3/8+10核/8G+512G 15.3英寸 午夜色,,2.0,MacBook Air 2024款,MacBook Air 2024款
雷神 猎刃15 2024,雷神(ThundeRobot),i9-14900HX/16G/1T/RTX4060/15.6英寸 灰色,,6.0,雷神 猎刃15 2024款,未匹配: 雷神 猎刃15 2024款
华为 FreeBuds Pro 3,华为,星河蓝,,3.0,华为 FreeBuds Pro 3,华为 FreeBuds Pro 3
机械革命 旷世G16 Pro 2024,机械革命（MECHREVO）,i7-13650HX/16G/1T/RTX4060/16英寸 灰色,,2.0,机械革命 旷世G16 Pro 2024款,未匹配: 机械革命 旷世G16 Pro 2024款
MacBook Air 2024款,Apple,M3/8+10核/8G+512G 15.3英寸 银色,,2.0,MacBook Air 2024款,MacBook Air 2024款
华为 MatePad Pro 2023款,华为,12GB+256GB WIFI版 13.2英寸 晶钻白,,3.0,华为 MatePad Pro 2023款,华为 MatePad Pro 2023款
Apple Watch SE 2023款,Apple,星光色运动型表带 S/M GPS + 蜂窝网络 铝金属表壳 44mm,,5.0,Apple Watch SE 2023款款,Apple Watch SE 2023款
华为 Pura 70 Pro+,华为,公开零售版 光织银 16+512G,,4.0,华为 Pura 70 Pro+,华为 Pura 70 Pro
Redmi K70,红米,竹月蓝 16+512G,,2.0,Redmi K70,Redmi K70
华硕 无畏Pro15 2024,华硕,Ultra 9 185H/16G/1T/RTX4060/15.6英寸 银色,,2.0,华硕 无畏Pro15 2024款,未匹配: 华硕 无畏Pro15 2024款
红米K70至尊版,红米,墨羽黑 12+256G,,19.0,红米K70至尊版,红米 K70 至尊版
OPPO A3,OPPO,12+256G 极光紫,,2.0,OPPO A3,OPPO A3
华为 Mate X5,华为,青山黛 12+512G,,3.0,华为 Mate X5,华为 Mate X5
vivo X100s,vivo,钛色 专属版 12+256G,,3.0,vivo X100 s,vivo X100
vivo IQOO Neo9S Pro+,vivo,格斗黑 16+512G,,3.0,vivo iQOO Neo9S Pro+,vivo iQOO Neo 9
realme GT6,realme,光年白 16+1T,,5.0,realme 真我 GT6,realme 真我 GT6
OPPO Pad Air2,oppo,8GB+128GB 流光银,,3.0,OPPO Pad Air2,OPPO Pad Air
联想 拯救者Y700 2023款,联想（Lenovo）,钛晶灰 16GB+512GB,,5.0,联想 拯救者Y700 2023款,未匹配: 联想 拯救者Y700 2023款
Apple Watch SE 2023款,Apple,午夜色运动型表带 GPS M/L 铝金属表壳 40mm,,2.0,Apple Watch SE 2023款款,Apple Watch SE 2023款
魅族21 Note,魅族,魅族白 16+512G,,3.0,魅族21 Note,魅族 21 Note
iPhone 15,Apple,绿色 128G,,14.0,iPhone 15,iPhone 15
一加Ace3 Pro,一加,超跑瓷典藏版 24+1T,,8.0,一加 Ace3 Pro,一加 Ace 3 Pro
vivo X100s Pro,vivo,白月光 专属版 12+256G,,3.0,vivo X100 s Pro,vivo X100
苹果15 Pro【首月1元】,Apple,128GB,黑色钛金属,3.0,苹果15 Pro,未匹配: 苹果15 Pro
iPad Pro 2024款 M4芯片 新款苹果平板电脑,Apple,13英寸512GB 无线局域网机型,深空黑色,8.0,iPad Pro 2024款 M4芯片 新款苹果平板电脑,iPad Pro 2024款
苹果15 Pro【首月1元】,Apple,128GB,原色钛金属,2.0,苹果15 Pro,未匹配: 苹果15 Pro
苹果 15 ProMax【首月1元】,Apple,512GB,蓝色钛金属,3.0,苹果 15 ProMax,未匹配: 苹果 15 ProMax
iPad Pro 2024款 M4芯片 新款苹果平板电脑,Apple,11英寸512GB 无线局域网机型,深空黑色,2.0,iPad Pro 2024款 M4芯片 新款苹果平板电脑,iPad Pro 2024款
全新 Apple 苹果 iPad Pro 2024款 M4芯片 新款平板电脑,Apple,11英寸512GB 无线局域网机型,深空黑色,1.0,全新 Apple 苹果 iPad Pro 2024款 M4芯片 新款平板电脑,iPad Pro 2024款
苹果15 Pro【首月1元】,Apple,256GB,原色钛金属,4.0,苹果15 Pro,未匹配: 苹果15 Pro
全新 iPhone 15 Pro Max 新品首发 5G全网通 钛合金金属边框,Apple,1TB,原色钛金属,2.0,全新 iPhone 15 Pro Max 新品首发 钛合金金属边框,iPhone 15 Pro Max
Apple Watch Series?9,Apple,风暴蓝色运动型表带 M/L 铝金属表壳 45mm GPS版,,3.0,Apple Watch Series?9,Apple Watch Series 9
三星Galaxy S24+新品上新  AI智享生活办公 2K全视屏,三星（SAMSUNG）,12+512GB,雅岩灰,1.0,三星 Galaxy S24+新品上新 AI智享生活办公 2K全视屏,三星 Galaxy S24 Plus
苹果15【首月1元】,Apple,256GB,蓝色,1.0,苹果15,未匹配: 苹果15
Apple Watch Series?9,Apple,星光色运动型表带 S/M 铝金属表壳 45mm GPS版,,5.0,Apple Watch Series?9,Apple Watch Series 9
小米 14 Ultra,小米,龙晶蓝 16+512G,,4.0,小米 14 Ultra,小米 14 Ultra
小米 14 Ultra,小米,12+256G 白色,,4.0,小米 14 Ultra,小米 14 Ultra
联想 拯救者R7000 2024,联想,R7-8745H/16G/512G/RTX4050/15.6英寸 钛晶灰,,3.0,联想 拯救者R7000款 2024款,未匹配: 联想 拯救者R7000款 2024款
iPad Pro 2024款 13英寸,Apple,标准玻璃 WiFi版 512G 银色,,6.0,iPad Pro 2024款 13英寸,iPad Pro 2024款
华为 Pura 70,华为,公开加锁版 羽砂黑 12+1T,,2.0,华为 Pura 70,华为 Pura 70
华为 Pura 70,华为,公开加锁版 羽砂黑 12+512G,,3.0,华为 Pura 70,华为 Pura 70
Apple Watch Series?9,Apple,午夜色运动型表带 M/L 铝金属表壳 45mm GPS版,,5.0,Apple Watch Series?9,Apple Watch Series 9
小米 Pad 6S Pro 12.4,小米,12GB+256GB 云峰蓝,,2.0,小米 Pad 6S Pro 12.4,小米 Pad 6S Pro 12.4
机械革命 蛟龙16 Pro,机械革命（MECHREVO）,R7-7745HX/32G/1TB/RTX4060/16英寸/QHD100色域240Hz 烟灰色,,4.0,机械革命 蛟龙16 Pro,机械革命 蛟龙 16 Pro
荣耀Magic V3,荣耀,绒黑色 16+512G,,4.0,荣耀 Magic V3,荣耀 Magic V3
小米 MIX Flip,小米,12+256G 白色,,8.0,小米 X Flip,未匹配: 小米 X Flip
MacBook Air 2024款,Apple,M3/8+8核/8G+256G 13.6英寸 银色,,6.0,MacBook Air 2024款,MacBook Air 2024款
AirPods 3,Apple,配闪电充电盒 白色,,5.0,AirPods 3,AirPods 3
华为 FreeClip 耳夹耳机,华为,暖星云,,1.0,华为 FreeClip 耳夹耳机,未匹配: 华为 FreeClip 耳夹耳机
华硕 天选5 Pro,华硕,R9-7940HX/16G/1T/RTX4060/16英寸 魔幻青,,6.0,华硕 天选5 Pro,华硕 天选 5 Pro
华为 Pura 70 Ultra,华为,公开加锁版 星芒白 16+1T,,2.0,华为 Pura 70 Ultra,华为 Pura 70 Ultra
华硕 天选4,华硕,i7-13700H/16G/512SSD/RTX4060 8G独显/144Hz/100%DCI-P3/日蚀灰,,7.0,华硕 天选4,华硕 天选 4
vivo S19Pro,vivo,千山翠 12+512G,,3.0,vivo S19 Pro,vivo S19Pro
华硕 天选5 Pro,华硕,日蚀灰 i7-13650HX/16G/1T/RTX4060/16英寸,,5.0,华硕 天选5 Pro,华硕 天选 5 Pro
vivo IQOO Neo9S Pro+,vivo,星曜白 16+512G,,3.0,vivo iQOO Neo9S Pro+,vivo iQOO Neo 9
Apple Watch Ultra 2,Apple,中号 蓝色高山回环式表带 钛金属表壳 49MM 蜂窝+GPS版,,2.0,Apple Watch Ultra 2,Apple Watch Ultra 2
荣耀 平板MagicPad2,荣耀,天海青 16GB+512GB,,2.0,荣耀 平板MagicPad2,未匹配: 荣耀 平板MagicPad2
雷神 猎刃15 2024,雷神(ThundeRobot),i7-13650HX/16G/512G/RTX4050/15.6英寸 灰色,,5.0,雷神 猎刃15 2024款,未匹配: 雷神 猎刃15 2024款
机械革命 旷世16 Super 2024,机械革命（MECHREVO）,银黑色 i9-14900HX/32G/1T/RTX4080/16英寸,,4.0,机械革命 旷世16 Super 2024款,未匹配: 机械革命 旷世16 Super 2024款
一加平板 Pro,一加,卡其绿 8GB+256GB,,2.0,一加 平板 Pro,一加平板 Pro
Xiaomi 14 Pro,小米,岩石青 16+1T,,2.0,小米 14 Pro,小米 14 Pro
MatePad Pro 2024款,华为,13.2英寸 12GB+512GB WiFi版 曜金黑,,3.0,MatePad Pro 2024款,华为 MatePad Pro 2024款
荣耀 Magic6 Pro,荣耀,海湖青 16+512G 5G全网通,,3.0,荣耀 Magic6 Pro,荣耀 Magic6 Pro
vivo X100 Ultra,vivo,白月光 16+1T 专属版,,6.0,vivo X10 0 Ultra,vivo X100 Ultra
Apple Watch Ultra 2,Apple,S/M 橙配米色野径回环式表带 钛金属表壳 49MM 蜂窝+GPS版,,3.0,Apple Watch Ultra 2,Apple Watch Ultra 2
iPhone 15 Pro Max（专区专享）,苹果,iPhone 15 Pro Max（专区专享）/5G全网通/256G,蓝色钛金属,2.0,iPhone 15 Pro Max,iPhone 15 Pro Max
iPhone 15（专区专享）,苹果,iPhone 15（专区专享）/5G全网通/256G,粉色,1.0,iPhone 15,iPhone 15
iPhone 15 Pro Max（专区专享）,苹果,iPhone 15 Pro Max（专区专享）/5G全网通/256G,白色钛金属,3.0,iPhone 15 Pro Max,iPhone 15 Pro Max
iPhone 15（专区专享）,苹果,iPhone 15（专区专享）/5G全网通/128G,黑色,2.0,iPhone 15,iPhone 15
荣耀 Magic6 Pro,荣耀,祁连雪 16+512G 5G全网通,,3.0,荣耀 Magic6 Pro,荣耀 Magic6 Pro
华为 WATCH GT 4,华为,山茶棕 真皮表带 GT 4 （46mm）,,4.0,华为 WATCH GT 4,华为 Watch GT 4
iPad 2022款,Apple,10.9 英寸 WiFi版 256G 银色,,3.0,iPad 2022款,iPad 2022款
Apple Watch SE 2023款,Apple,午夜色运动型表带 M/L GPS + 蜂窝网络 铝金属表壳 44mm,,2.0,Apple Watch SE 2023款款,Apple Watch SE 2023款
华为 Mate 60 RS,华为,瑞红 16+512G,,2.0,华为 Mate 60 RS,华为 Mate 60
vivo X100 Ultra,vivo,白月光 专属版 16+512G,,3.0,vivo X10 0 Ultra,vivo X100 Ultra
iPad Air 2024款 13英寸,Apple,WiFi版 256G 紫色,,3.0,iPad Air 2024款 13英寸,iPad Air 2024款
魅族 21,魅族,魅族白 12+256G,,1.0,魅族 21,魅族 21
MacBook Air 2024款,Apple,M3/8+8核/8G+256G 13.6英寸 午夜色,,2.0,MacBook Air 2024款,MacBook Air 2024款
iPhone 15 Pro,Apple,黑色钛金属 512G,,11.0,iPhone 15 Pro,iPhone 15 Pro
华为 MatePad Pro 2023款,华为,12GB+512GB WIFI版 13.2英寸 曜金黑,,1.0,华为 MatePad Pro 2023款,华为 MatePad Pro 2023款
iPad 2022款,Apple,10.9 英寸 WiFi版 64G 银色,,2.0,iPad 2022款,iPad 2022款
HUAWEI MateBook 14 2024款,华为,Ultra 5/16GB/512GB 皓月银,,2.0,华为 MateBook 14 2024款,未匹配: 华为 MateBook 14 2024款
荣耀手环 7,荣耀,标准版 幻夜黑,,1.0,荣耀 手环 7,未匹配: 荣耀 手环 7
华为 MateBook 16s 2023,华为,i9-13900H/32G/1T/锐炬Xe/触屏/16英寸 深空灰,,1.0,华为 MateBook 16s 2023款,未匹配: 华为 MateBook 16s 2023款
华为 WATCH GT 4,华为,曜石黑 氟橡胶表带 GT 4 （46mm）,,2.0,华为 WATCH GT 4,华为 Watch GT 4
三星 Galaxy S24 Ultra,三星,钛暮紫 12+512G,,1.0,三星 Galaxy S24 Ultra,三星 Galaxy S24 Ultra
HUAWEI MateBook 14 2024款,华为,Ultra 7/32GB/1TB 深空灰,,1.0,华为 MateBook 14 2024款,未匹配: 华为 MateBook 14 2024款
华硕 ROG枪神8,华硕,i9-14900HX/16G/1T/RTX4060/16英寸 黑色,,1.0,华硕 ROG枪神8,ROG 枪神 8
vivo X100s Pro,vivo,白月光 专属版 16+512G,,4.0,vivo X100 s Pro,vivo X100
MacBook Air 2024款,Apple,M3/8+10核/16G+512G 13.6英寸 星光色,,1.0,MacBook Air 2024款,MacBook Air 2024款
华为 Mate 60,华为,Mate 60 雅川青 标准版 12+512G,,5.0,华为 Mate 60,华为 Mate 60
vivo S19,vivo,桃花扇 8+256G,,1.0,vivo S19,vivo S19
MatePad Pro 2024款,华为,12GB+512GB（SIM卡版） 曜金黑,,2.0,MatePad Pro 2024款,华为 MatePad Pro 2024款
vivo iQOO 12,vivo,16+1T  传奇版,,2.0,vivo iQOO 12,vivo iQOO 12
vivo X100s Pro,vivo,辰夜黑 专属版 12+256G,,2.0,vivo X100 s Pro,vivo X100
华硕(ASUS)无畏16,华硕,R7-5800H/16G/512GSSD/锐炬Xe/银色,,1.0,华硕 无畏16,未匹配: 华硕 无畏16
荣耀 Magic6,荣耀,祁连雪 5G全网通 12+256G,,1.0,荣耀 Magic6,荣耀 Magic6
MatePad Pro 2024款,华为,13.2英寸 雅川青 12GB+256GB WiFi版,,3.0,MatePad Pro 2024款,华为 MatePad Pro 2024款
机械革命 耀世15 Pro 2024,机械革命（MECHREVO）,i7-14650HX/32G/1T/RTX4060/15.3英寸 澜海黑,,2.0,机械革命 耀世15 Pro 2024款,未匹配: 机械革命 耀世15 Pro 2024款
华硕 ROG幻16 Air 2024,华硕,Ultra 9 185H/32GB/1TB/RTX4060/16英寸/2.5K/240Hz 铂月白,,3.0,华硕 ROG幻16 Air 2024款,ROG 幻 16
vivo iQOO Z9 Turbo,vivo,山野青 16+256G,,2.0,vivo iQOO Z9 Turbo,vivo iQOO
华硕 天选5 Pro,华硕,日蚀灰 i9-13980HX/16G/1T/RTX4060/16英寸,,4.0,华硕 天选5 Pro,华硕 天选 5 Pro
三星 Galaxy S24+,三星,雅岩灰 12+256G,,1.0,三星 Galaxy S24+,三星 Galaxy S24 Plus
Redmi K70,红米,浅茄紫 12+256G,,1.0,Redmi K70,Redmi K70
vivo X100s,vivo,白月光 专属版 12+256G,,3.0,vivo X100 s,vivo X100
Apple Watch Series?9,Apple,星光色运动型表带 M/L 铝金属表壳 41mm GPS版,,1.0,Apple Watch Series?9,Apple Watch Series 9
Apple Watch Series?9,Apple,午夜色运动型表带 S/M 铝金属表壳 41mm GPS版,,2.0,Apple Watch Series?9,Apple Watch Series 9
MatePad Pro 2024款,华为,13.2英寸 罗兰紫 12GB+256GB WiFi版,,1.0,MatePad Pro 2024款,华为 MatePad Pro 2024款
iPad Air 2024款 11英寸,Apple,星光色 WiFi版 128G,,6.0,iPad Air 2024款 11英寸,iPad Air 2024款
华硕 ROG魔霸7 Plus（准新机）,华硕,R9-7845HX/16G/1T/RTX4070/17.3英寸 黑色,,2.0,华硕 ROG魔霸7 Plus,ROG 魔霸 7 Plus
联想 拯救者Y7000P 2024,联想,i7-14700HX/16G/1T/RTX4070/16英寸 月蚀灰,,11.0,联想 拯救者Y7000款P 2024款,未匹配: 联想 拯救者Y7000款P 2024款
华为 Mate X5,华为,16GB+512GB 典藏版  羽砂黑,,3.0,华为 Mate X5,华为 Mate X5
荣耀X50 GT,荣耀,银翼战神 16+512G 5G全网通,,4.0,荣耀 X50 GT,荣耀 X50 GT
Apple Watch SE 2023款,Apple,星光色运动型表带 GPS S/M 铝金属表壳 44mm,,1.0,Apple Watch SE 2023款款,Apple Watch SE 2023款
荣耀 X60i,荣耀,云水蓝 12+512G,,1.0,荣耀 X60i,荣耀 X60i
华硕 天选4,华硕,i7-13620H/16G/512GSSD/RTX4060 8G独显/144Hz/100% sRGB/日蚀灰,,2.0,华硕 天选4,华硕 天选 4
魅族21 Note,魅族,无界黑 16+256G,,2.0,魅族21 Note,魅族 21 Note
荣耀X50 GT,荣耀,5G全网通 12+256G  幻夜黑,,8.0,荣耀 X50 GT,荣耀 X50 GT
iPhone 15,Apple,256G 黑色,,17.0,iPhone 15,iPhone 15
星Book14 2023款,惠普（HP）,R5-7520U/16G/512G SSD/锐炬Xe/14英寸 银色,,1.0,星Book14 2023款,未匹配: 星Book14 2023款
Xiaomi 14 Pro,小米,16+512G 黑色,,8.0,小米 14 Pro,小米 14 Pro
一加 Ace 3,一加,月海蓝 16+512G 5G全网通,,1.0,一加 Ace 3,一加 Ace 3
Xiaomi Pad 6 Max 14,小米,12GB+256GB 银色,,1.0,小米 Pad 6 Max 14,小米 平板 6
华为 nova 12 活力版,华为,12号色 256G,,2.0,华为 nova 12 活力版,华为 nova 12 活力版
Redmi K70 Pro,红米,竹月蓝 16+256G,,1.0,Redmi K70 Pro,Redmi K70 Pro
华为 FreeBuds Pro 3,华为,雅川青,,3.0,华为 FreeBuds Pro 3,华为 FreeBuds Pro 3
vivo X100 Ultra,vivo,钛色 16+1T 专属版,,2.0,vivo X10 0 Ultra,vivo X100 Ultra
荣耀平板X8 Pro,荣耀,8GB+256GB 星空灰,,1.0,荣耀 平板X8 Pro,未匹配: 荣耀 平板X8 Pro
iPad Pro 2024款 11英寸,Apple,标准玻璃 WiFi版 512G 银色,,3.0,iPad Pro 2024款 11英寸,iPad Pro 2024款
华为MatePad Air 2023款,华为,12GB+512GB 全网通版  曜石黑,,1.0,华为 MatePad Air 2023款,华为 MatePad
OPPO Find X7,OPPO,大漠银月 16+512G,,1.0,OPPO Find X7,OPPO Find X7
联想 小新Pro16 2024,联想,鸽子灰 Ultra 5 125H/32G/1T/锐炫/16英寸,,3.0,联想 小新Pro16 2024款,未匹配: 联想 小新Pro16 2024款
荣耀 Magic6,荣耀,绒黑色 5G全网通 12+256G,,1.0,荣耀 Magic6,荣耀 Magic6
华为 Mate 60 RS,华为,16+1T 玄黑,,4.0,华为 Mate 60 RS,华为 Mate 60
华为 Mate 60 Pro,华为,12+1T 白沙银 标准版,,4.0,华为 Mate 60 Pro,华为 Mate 60
vivo Pad3 Pro,vivo,寒星灰 8GB+256GB,,1.0,vivo Pad3 Pro,vivo Pad 3 Pro
华为 Pura 70 Ultra,华为,公开零售版 星芒白 16+512G,,2.0,华为 Pura 70 Ultra,华为 Pura 70 Ultra
MacBook Air 2024款,Apple,M3/8+10核/16G+512G 15.3英寸 午夜色,,1.0,MacBook Air 2024款,MacBook Air 2024款
Xiaomi 14,小米,雪山粉 16+1T,,1.0,小米 14,小米 14
HUAWEI MateBook 14 2024款,华为,Ultra 5/16GB/512GB 深空灰,,3.0,华为 MateBook 14 2024款,未匹配: 华为 MateBook 14 2024款
华硕 ROG枪神7 Plus,华硕,i9-13980HX/16G/1TBSSD/RTX4060 8G独显/240Hz/2.5K/黑色,,1.0,华硕 ROG枪神7 Plus,ROG 枪神 7 Plus
OPPO Reno12 Pro,OPPO,16+256G 香槟金,,4.0,OPPO Reno12 Pro,OPPO Reno 12 Pro
华为 Pura 70 Pro+,华为,公开零售版 弦乐白 16+512G,,2.0,华为 Pura 70 Pro+,华为 Pura 70 Pro
一加 Ace 3,一加,16+1T  星辰黑 5G全网通,,1.0,一加 Ace 3,一加 Ace 3
OPPO Reno12,OPPO,乌木黑 12+256G,,5.0,OPPO Reno12,OPPO Reno 12
华为 nova Flip,华为,256G 零度白,,2.0,华为 nova Flip,未匹配: 华为 nova Flip
华为 Mate X5,华为,16GB+1TB 典藏版  幻影紫,,4.0,华为 Mate X5,华为 Mate X5
vivo iQOO Z9,vivo,曜夜黑 12+512G,,1.0,vivo iQOO Z9,vivo iQOO
华为 Mate 60,华为,Mate 60 专属版 雅丹黑 12+256G,,4.0,华为 Mate 60,华为 Mate 60
华为 Pura 70 Pro,华为,极速发货 雪域白 12+256G,,4.0,华为 Pura 70 Pro,华为 Pura 70 Pro
华为 nova 12 Pro,华为,曜金黑 256G,,1.0,华为 nova 12 Pro,未匹配: 华为 nova 12 Pro
vivo X Fold3,vivo,薄翼黑 16+512G,,2.0,vivo X Fold3,vivo X Fold3
MatePad Pro 2024款,华为,13.2英寸 晶钻白 12GB+256GB WiFi版,,4.0,MatePad Pro 2024款,华为 MatePad Pro 2024款
华硕 ROG枪神7,华硕,i9-13980HX/16G/1TBSSD/RTX4070 8G独显/240Hz/2.5K/黑色,,1.0,华硕 ROG枪神7,ROG 枪神 7
OPPO Reno12 Pro,OPPO,银幻紫 16+512G,,4.0,OPPO Reno12 Pro,OPPO Reno 12 Pro
三星 Galaxy Z Flip4,三星,哥特太空 8+256G,,1.0,三星 Galaxy Z Flip 4,三星 Galaxy Z Flip 4
Redmi K70,红米,16+256G  墨羽,,2.0,Redmi K70,Redmi K70
vivo S19,vivo,烟雨青 12+512G,,3.0,vivo S19,vivo S19
iPhone 13,Apple,标准版（iPhone 13） 粉色 全网通-国行版 128G,,2.0,iPhone 13,iPhone 13
荣耀 Magic6,荣耀,绒黑色 16+256G 5G全网通,,1.0,荣耀 Magic6,荣耀 Magic6
vivo X100s,vivo,白月光 专属版 16+256G,,5.0,vivo X100 s,vivo X100
vivo S19,vivo,桃花扇 12+256G,,1.0,vivo S19,vivo S19
红魔9Pro+,努比亚（nubia）,氘锋透明银翼  16+512G 5G全网通,,2.0,红魔 9Pro+,努比亚 红魔 9Pro+
机械革命 翼龙15 Pro 2024,机械革命（MECHREVO）,云涧白 R7-8845H/32G/1T/RTX4060/15.3英寸,,1.0,机械革命 翼龙15 Pro 2024款,未匹配: 机械革命 翼龙15 Pro 2024款
iPhone 15 Plus,Apple,256G 蓝色,,3.0,iPhone 15 Plus,iPhone 15 Plus
Redmi K70,红米,墨羽 12+256G,,2.0,Redmi K70,Redmi K70
OPPO Reno12 Pro,OPPO,银幻紫 16+256G,,10.0,OPPO Reno12 Pro,OPPO Reno 12 Pro
华为 Mate 60,华为,Mate 60 白沙银 标准版 12+256G,,5.0,华为 Mate 60,华为 Mate 60
小米 MIX Flip,小米,幻影紫 12+512G,,2.0,小米 X Flip,未匹配: 小米 X Flip
Redmi K70,红米,16+256G  晴雪,,2.0,Redmi K70,Redmi K70
OPPO Find N3 Flip,oppo,薄雾玫瑰 12+256G,,1.0,OPPO Find N3 Flip,OPPO Find N3
OPPO Find X7 Ultra,oppo,海阔天空 16+512G,,5.0,OPPO Find X7 Ultra,OPPO Find X7 Ultra
Apple Watch SE 2023款,Apple,风暴蓝色运动型表带 GPS M/L 铝金属表壳 40mm,,1.0,Apple Watch SE 2023款款,Apple Watch SE 2023款
华为 Pura 70,华为,极速配送 樱玫红 12+256G,,1.0,华为 Pura 70,华为 Pura 70
vivo X Fold3,vivo,轻羽白 16+256G,,3.0,vivo X Fold3,vivo X Fold3
iPhone 15,Apple,蓝色 512G,,1.0,iPhone 15,iPhone 15
荣耀200,荣耀,天海青 12+512G,,1.0,荣耀 200,荣耀 200
iPhone 15 Pro Max,Apple,1T 蓝色钛金属,,3.0,iPhone 15 Pro Max,iPhone 15 Pro Max
华为 MatePad Pro 2023款,华为,12GB+256GB WIFI版 13.2英寸 曜金黑,,1.0,华为 MatePad Pro 2023款,华为 MatePad Pro 2023款
Xiaomi 14 Pro,小米,16+1T 黑色,,3.0,小米 14 Pro,小米 14 Pro
三星 Galaxy Z Fold6,三星,冷夜蓝 12+1T,,1.0,三星 Galaxy Z Fold 6,三星 Galaxy Z Fold 6
iPhone 14 Plus,Apple,标准版 (iPhone 14 Plus） 星光色 128G,,1.0,iPhone 14 Plus,iPhone 14 Plus
华为 Mate 60 Pro,华为,南糯紫 标准版 12+512G,,3.0,华为 Mate 60 Pro,华为 Mate 60
华为 Mate 60,华为,Mate 60 雅川青 标准版 12+256G,,5.0,华为 Mate 60,华为 Mate 60
联想 拯救者R7000 2024,联想,R7-8745H/16G/512G/RTX4060/15.6英寸 钛晶灰,,3.0,联想 拯救者R7000款 2024款,未匹配: 联想 拯救者R7000款 2024款
一加Ace3 Pro,一加,钛空镜银 12+256G,,9.0,一加 Ace3 Pro,一加 Ace 3 Pro
华为MatePad 11 2023款,华为,8GB+256GB WIFI版 晶钻白,,1.0,华为 MatePad 11 2023款,华为 MatePad 1120款
华为手环 B7,华为,皮表带 苍穹灰 时尚版,,1.0,华为 手环 B7,未匹配: 华为 手环 B7
iPad 2021款,apple,WiFi版 256G 深空灰色 10.2英寸,,1.0,iPad 2021款,iPad 2021款
华为 畅享70,华为,雪域白 128G,,1.0,华为 畅享70,华为 畅享 70
Apple iPhone 15 Pro,Apple,256G,蓝色钛金属,2.0,Apple iPhone 15 Pro,iPhone 15 Pro
ROG魔霸7 Plus,华硕（Asus),R9-7845HX/16G/1TB/RTX4070 8G独显/240Hz/2.5K 17.3英寸 黑色,,1.0,ROG魔霸7 Plus,ROG 魔霸 7 Plus
OPPO Reno12 Pro,OPPO,乌木黑 16+512G,,5.0,OPPO Reno12 Pro,OPPO Reno 12 Pro
ROG游戏手机8 Pro,华硕,曜石黑 16+512G,,2.0,ROG游戏手机8 Pro,ROG 游戏手机 8 Pro
Xiaomi 14 Pro,小米,16+1T 白色,,3.0,小米 14 Pro,小米 14 Pro
荣耀X50,荣耀,全新  典雅黑  标准版 16GB+512GB,,2.0,荣耀 X50,荣耀 X50
vivo X100s,vivo,青云 专属版 16+512G,,7.0,vivo X100 s,vivo X100
Xiaomi 14,小米,岩石青 16+1T,,2.0,小米 14,小米 14
