pro_title,pro_brand,pro_model,pro_color,数量
iPad Pro 2024款 11英寸,Apple,标准玻璃 深空黑 WiFi版 512G,,3
红米 Turbo3,红米,墨晶 12+256G,,1
魅族21 Note,魅族,无界黑 16+512G,,1
vivo iQOO Neo9S Pro,vivo,星曜白 12+512G,,2
荣耀 Magic6 Pro,荣耀, 祁连雪 16+1T 5G全网通,,2
华硕 ROG幻16 Air 2024,华硕,Ultra 9 185H/32GB/1TB/RTX4070/16英寸/2.5K/240Hz 铂月白,,3
荣耀X50 GT,荣耀,16+256G 5G全网通  幻夜黑,,2
红茶,NULL,NULL,NULL,1
iPhone 15 Pro Max（专区专享）,苹果,iPhone 15 Pro Max（专区专享）/5G全网通/512G,黑色钛金属,1
iPhone 15 Plus,苹果,iPhone 15 Plus/5G全网通/256G,蓝色,1
iPhone 15 Pro,苹果,iPhone 15 Pro/5G全网通/256G,黑色钛金属,3
 【黑神话悟空】联想拯救者Y7000P,联想(Lenovo),i7-14650H/16G/1TSSD/4050-6G/16英寸,电竞灰,1
Apple Watch Ultra 2 年度爆款 全新正品 顺丰发货,Apple,49毫米 GPS+蜂窝网络,橄榄色高山回环式表带,1
苹果 15PM【首月1元】  ,Apple,512GB,原色钛金属,47
苹果 15PM【首月1元】  ,Apple,256GB,白色钛金属,58
苹果 15PM【首月1元】  ,Apple,256GB,黑色钛金属,73
苹果15 Plus【首月1元】,Apple,256GB,蓝色,2
荣耀 Magic V3 折叠屏手机  第三代青海湖电池,荣耀（HONOR）,16GB+512GB,绒黑色,2
HUAWEI Pura 70 Ultra 超聚光伸缩摄像头 超高速风驰闪拍 双卫星通信,华为（HUAWEI）,16GB+512GB,星芒黑,1
荣耀  Magic V3 折叠屏手机  第三代青海湖电池,荣耀（HONOR）,16GB+512GB,苔原绿,1
苹果 15PM【首月1元】  ,Apple,256GB,原色钛金属,49
全新 Apple Watch Ultra 2 年度爆款 全新正品 顺丰发货,Apple,49毫米 GPS+蜂窝网络,白色海洋表带,1
苹果 15PM【首月1元】  ,Apple,512GB,黑色钛金属,55
苹果 15PM【首月1元】  ,Apple,512GB,白色钛金属,57
Apple Watch Ultra 2 年度爆款 全新正品 顺丰发货,Apple,49毫米 GPS+蜂窝网络,蓝配黑色野径回环式表带,1
苹果 15PM【首月1元】  ,Apple,512GB,蓝色钛金属,10
iPad 2022款,Apple,WiFi版 64G 标准版（iPad 2022） 10.9英寸 蓝色,,1
OPPO Find X7,OPPO, 大漠银月 16+256G,,2
荣耀 MagicBook Art 14,荣耀,Ultra 5 125H/16G/1T/锐炫/14.6英寸 夏日橄榄,,1
vivo Y300 Pro,vivo,羊脂白 12+256G,,3
华为 Mate 60,华为,Mate 60 专属版 雅丹黑 12+512G,,1
华硕 ROG魔霸新锐 2024,华硕,i9-13980HX/16G/1T/RTX4060/16英寸 黑色,,2
iPhone 15 Plus,Apple,黑色 128G,,8
Apple Watch Series?9,Apple,星光色运动型表带 S/M 铝金属表壳 蜂窝+GPS版 41mm,,1
华为 Pura 70 Pro,华为,极速发货 羽砂黑 12+256G,,2
红米K70至尊版,红米,冰璃蓝 16+512G,,2
华为 Mate 60,华为,Mate 60 南糯紫 标准版 12+512G,,1
iPad 2022款,Apple,WiFi版 64G 标准版（iPad 2022） 10.9英寸 粉色,,1
vivo X100s,vivo, 青云 16+1T 专属版,,2
华为 Pura 70,华为,公开零售版 雪域白 12+256G,,3
华为 Mate 60 Pro,华为,雅川青 标准版 12+256G,,22
华为 Pocket 2,华为,大溪地灰 12+512G,,2
vivo Y300 Pro,vivo,12+512G 墨玉黑,,2
华硕 天选Air 2024,华硕,R7-8845H/16G/1T/RTX4060/14英寸 月光银,,2
红米K70至尊版,红米,晴雪白 12+512G,,6
vivo S19,vivo,桃花扇 12+512G,,1
红米K70至尊版,红米,晴雪白 16+1T,,5
荣耀200 Pro,荣耀,珊瑚粉 16+1T,,1
MacBook Air 2024款,Apple,M3/8+10核/8G+512G 13.6英寸 银色,,2
MacBook Air 2024款,Apple,M3/8+10核/8G+512G 13.6英寸 午夜色,,1
iPad 2022款,Apple,10.9 英寸 粉色 WiFi版 64G,,3
MacBook Pro 2023款,Apple,M3/8+10核/8G+1TB/14英寸 银色,,1
荣耀 Magic6,荣耀, 祁连雪 16+512G 5G全网通,,1
华为 MatePad Pro 12.6英寸,华为,8GB+256GB WIFI版 曜金黑,,2
惠普 光影精灵10,惠普（HP）,陨石黑 i7-14650HX/16G/1T/RTX4060/16.1英寸,,1
联想 小新Pro14 2024,联想,R7-8845H/16G/1T/集显/14英寸 鸽子灰,,1
iPad 2022款,Apple,10.9 英寸 粉色 WiFi版 256G,,2
HUAWEI MateBook 14 2024款,华为,原野绿 Ultra 7/32GB/1TB,,1
红米K70至尊版,红米,冰璃蓝 16+1T,,3
MacBook Air 2024款,Apple,M3/8+10核/8G+512G 15.3英寸 深空灰色,,1
HUAWEI MateBook 14 2024款,华为,原野绿 Ultra 5/32GB/1TB,,1
iPad Air 2024款 13英寸,Apple,WiFi版 512G 紫色,,2
Apple Watch SE 2023款,Apple,午夜色运动型表带 GPS S/M 铝金属表壳 44mm,,1
华为WATCH 4 Pro,华为,蔚蓝地球 复合表带,,4
华为MatePad Air 2023款,华为,8GB+256GB WIFI版  曜石黑,,1
Apple Watch Ultra 2,Apple,均码 橙色海洋表带 钛金属表壳 49MM 蜂窝+GPS版,,8
Apple Watch Series?9,Apple,风暴蓝色运动型表带 M/L 铝金属表壳 41mm GPS版,,1
机械革命 蛟龙16K,机械革命（MECHREVO）,R7-7735H/RTX4060/16G/1TB/16英寸/QHD100色域/165Hz 灰色,,2
vivo X100 Ultra,vivo,16+1T 专属版  深空灰,,2
荣耀 Magic6 Pro,荣耀, 海湖青 5G全网通 12+256G,,1
华为 Mate 60 Pro,华为,12+1T 雅川青 标准版,,4
华为 Pocket 2,华为,大溪地灰 12+256G,,2
华为 MateBook X Pro 2024,华为,宣白 U7/32GB/1TB,,2
华硕 天选Air 2024,华硕,AI 9 HX 370/16G/1T/RTX4060/14英寸 日蚀灰,,1
荣耀Magic Vs3,荣耀,绒黑色 12+256G,,3
一加Ace3 Pro,一加,钛空镜银 16+256G,,4
华硕 天选4,华硕,i7-12700H/16G/512GSSD/RTX4060 8G独显/144Hz/100%sRGB/日蚀灰,,1
红米K70至尊版,红米,墨羽黑 12+512G,,3
iPad 2022款,Apple,WiFi版 256G 标准版（iPad 2022） 10.9英寸 银色,,2
小米平板6Pro 2023款,小米,12GB+256GB 11英寸 黑色,,2
vivo IQOO Neo9S Pro+,vivo,格斗黑 12+256G,,1
魅族21 Note,魅族,魅族白 16+256G,,1
小米 Pad 6S Pro 12.4,小米,12GB+512GB 云峰蓝,,1
联想 拯救者R9000P 2022（二手）,联想,R7-6800H/16G/512G/RTX3060/16英寸 钛晶灰,,1
华硕 天选5,华硕（Asus）,R7-8845H/16G/512G/RTX4060/15.6英寸 魔幻青,,1
联想 拯救者R9000P 2023款,联想（Lenovo）,R9-7945HX/16G/1T/RTX4060/16英寸 钛晶灰,,2
华为 Mate X5,华为, 羽砂黑 12+512G,,7
OPPO Find N3,oppo,赤壁丹霞 16+1T,,1
vivo X100s,vivo, 青云 专属版 16+256G,,2
vivo IQOO Neo9S Pro+,vivo,Buff蓝 16+256G,,3
荣耀 Magic6 Pro,荣耀, 祁连雪 5G全网通 12+256G,,3
OPPO Reno12,OPPO,柔和桃 12+256G,,3
华为 MatePad Pro 12.6英寸,华为,12GB+256GB WIFI版 锦白,,1
vivo iQOO 12 Pro,vivo,16+512G  赛道版,,3
华硕 a豆14 2024,华硕,i5-1335U/16GB/1TB/集显/14英寸 树莓蜜粉,,1
荣耀 平板9 Pro,荣耀,8GB+256GB 星空灰,,1
联想 小新Pad Pro 2023款,联想（Lenovo）,鸽子灰 8GB+128GB,,1
华硕 无畏Pro15 2024,华硕,Ultra 7 155H/32G/1T/锐炫/15.6英寸 蓝色,,1
vivo iQOO 12,vivo,16+512G  传奇版,,2
Xiaomi 14,小米,雪山粉 12+256G,,7
红魔9Pro+,努比亚（nubia）, 氘锋透明暗夜  16+512G 5G全网通,,1
Xiaomi 14,小米,岩石青 16+512G,,4
OPPO Find X7,OPPO, 海阔天空 16+256G,,3
小米 Pad 6S Pro 12.4,小米,12GB+256GB 黑色,,3
荣耀200 Pro,荣耀,月影白 12+256G,,2
华为MatePad SE 2023款,华为,8GB+128GB WIFI版 海岛蓝,,1
荣耀 Magic6 Pro,荣耀, 绒黑色 16+512G 5G全网通,,2
华为 Mate X5,华为,16GB+1TB 典藏版  青山黛,,2
华为 Mate 60 Pro+,华为,宣白 16+1T,,1
vivo Y300 Pro,vivo,羊脂白 12+512G,,4
雷神 猎刃16 2024,雷神(ThundeRobot),i9-14900HX/16G/1T/RTX4070/16英寸 灰色,,1
惠普 星Book Pro13 2023,惠普（HP）,R7-7735U/16G/1TB/集显/13.3英寸 陶瓷白,,1
vivo iQOO Z9 Turbo,vivo, 曜夜黑 16+256G,,2
realme GT6,realme,光年白 16+256G,,1
华硕 ROG幻16 Air 2024,华硕,Ultra 9 185H/32GB/1TB/RTX4060/16英寸/2.5K/240Hz 日蚀灰,,3
华为 畅享70,华为,曜金黑 128G,,2
vivo X100s Pro,vivo, 钛色 16+1T 专属版,,3
vivo X100s,vivo, 白月光 16+1T 专属版,,4
联想 小新Pad 2024款,联想（Lenovo）,8GB+128GB 鸽子灰 11英寸,,2
机械革命 旷世G16 Pro 2024,机械革命（MECHREVO）,i7-14650HX/16G/1T/RTX4060/16英寸 灰色,,1
联想小新15 2024款,联想（Lenovo）,霜雪银 i5-13420H/16G/512G/集显/15.3英寸,,1
vivo IQOO Neo9S Pro+,vivo,星曜白 12+512G,,1
一加Ace3 Pro,一加,钛空镜银 24+1T,,3
华为 Mate 60 Pro+,华为,宣白 16+512G,,3
OPPO Reno12,OPPO,乌木黑 16+256G,,2
华为 Mate 60 RS,华为,玄黑 16+512G,,2
vivo iQOO 12,vivo,12+512G  传奇版,,1
vivo X100s,vivo,专属版 16+256G  深空灰,,4
三星 Galaxy Z Flip5,三星,云影灰 标准版 8+256G,,4
华为 畅享70 Pro,华为, 雪域白 256G,,1
华为 Pura 70,华为,公开零售版 羽砂黑 12+1T,,1
华为MatePad SE 2023款,华为,8GB+128GB WIFI版  曜石黑,,1
vivo IQOO Neo9S Pro+,vivo,Buff蓝 16+512G,,2
荣耀 Magic6 Pro,荣耀, 流云紫 16+512G 5G全网通,,2
戴尔 G16 7630,戴尔（DELL),i9-13900HX/16G/1T/RTX4060/16英寸/240Hz/背光机械键盘 皓影白,,1
iPhone 15,Apple,256G 黄色,,2
联想小新15 2024款,联想（Lenovo）,i5-13420H/16G/512G/集显/15.3英寸 烟霞紫,,1
魅族 21 Pro,魅族,12+256G 冰川蓝,,3
华为 nova 12,华为, 樱语白 256G,,1
iPad Air 2024款 11英寸,Apple,WiFi版 512G 深空灰,,1
联想 拯救者Y700 2023款,联想（Lenovo）,钛晶灰 12GB+256GB,,1
荣耀X50 GT,荣耀, 银翼战神 16+256G 5G全网通,,1
vivo iQOO 12,vivo,12+512G  赛道版,,2
vivo X100s Pro,vivo, 钛色 专属版 12+256G,,2
华为 Pura 70 Ultra,华为,极速发货 香颂绿 16+1T,,1
三星 Galaxy S24 Ultra,三星,12+1T  钛黑,,1
vivo iQOO Z9,vivo, 山野青 12+512G,,1
华为 MateBook D16 2024,华为,i5-13500H/16G/1T/集显/16英寸 深空灰,,3
Xiaomi 14,小米,雪山粉 16+512G,,2
荣耀 Magic6,荣耀, 祁连雪 16+256G 5G全网通,,1
华为 Pura 70 Ultra,华为,公开零售版 星芒黑 16+512G,,1
华为 Pocket 2,华为,洛可可白 12+512G,,5
MatePad Pro 2024款,华为,13.2英寸 晶钻白 12GB+512GB WiFi版,,1
华为 nova 12 Pro,华为, 樱语白 256G,,1
华为 MatePad Pro 2023款,华为,12GB+512GB WIFI版 13.2英寸 雅川青,,1
华为 Mate 60 Pro+,华为,砚黑 16+1T,,1
Apple Watch Ultra 2,Apple,小号 橄榄色高山回环式表带 钛金属表壳 49MM 蜂窝+GPS版,,1
红魔9S Pro,努比亚（nubia）,暗夜骑士 12+512G,,2
OPPO A3 Pro,OPPO,天青 12+512G,,2
荣耀X50,荣耀,全新  雨后初晴  标准版 12GB+256GB,,1
Redmi K70,红米, 竹月蓝 12+256G,,1
华硕 灵耀14 2023,华硕,i9-13900H/16G/1TB/2.5K/IPS/冰川银,,1
努比亚Z60 Ultra 领先版,努比亚（nubia）,16+512G 竞速黑,,2
联想 小新Pad Pro 2025 舒视版,联想（Lenovo）,大象灰 8GB+256GB,,1
华为MatePad SE 2023款,华为,6GB+128GB WIFI版 海岛蓝,,1
华为 MateBook E 2023,华为,i7-1260U/16G/1T/锐炬Xe/12.6英寸 星云灰,,2
荣耀Magic Vs3,荣耀,绒黑色 16+1T,,1
realme GT6,realme,风暴紫 16+512G,,1
vivo Y300 Pro,vivo,金镶玉 8+128G,,1
华为 Pura 70 Pro,华为,极速发货 罗兰紫 12+256G,,1
联想 GeekPro G5000 2024,联想,i7-13650HX/16G/512G/RTX4060/15.6英寸 钛晶灰,,1
一加Ace3 Pro,一加,超跑瓷典藏版 16+512G,,3
荣耀平板X8 Pro,荣耀,8GB+128GB 珊瑚紫,,1
荣耀90 GT,荣耀, 星曜黑 16+512G,,1
魅族 21 Pro,魅族,星夜黑 16+512G,,2
荣耀X50,荣耀,全新  标准版 8GB+256GB  燃橙色,,2
MacBook Air 2024款,Apple,M3/8+8核/8G+256G 13.6英寸 深空灰色,,1
华为 MateBook D16 2024,华为,i7-13700H/16G/1T/集显/16英寸 深空灰,,1
华为 WATCH GT2 Pro,华为, 曜石黑,,1
vivo X100s Pro,vivo, 钛色 专属版 16+512G,,1
iPad Pro 2022款,Apple,WiFi版 512G 标准版 (iPad  Pro 2022) 深空灰色 11英寸,,1
荣耀X50,荣耀,全新  标准版  勃朗蓝 8GB+128GB,,1
iPhone 15 Plus,Apple,黑色 512G,,1
vivo X Fold3 Pro,vivo,轻羽白 16+512G,,2
vivo IQOO Neo9S Pro+,vivo,格斗黑 16+1T,,1
iPhone 15 Plus,Apple,粉色 128G,,2
联想 小新Pro16 2024,联想,Ultra 9 185H/32G/1T/锐炫/16英寸 鸽子灰,,1
iPhone 15 Plus,Apple,256G 绿色,,1
realme GT6,realme,光年白 12+256G,,5
iPhone 14 Plus,Apple,标准版 (iPhone 14 Plus） 紫色 128G,,1
华为 Mate 60 Pro,华为,南糯紫 标准版 12+256G,,2
荣耀V Purse,荣耀,雅黑色 16+256G,,1
vivo Pad3 Pro,vivo,春潮蓝 16GB+512GB,,2
Apple iPhone 15 Plus,Apple,256G,蓝色,1
红魔9Pro,努比亚（nubia）, 氘锋透明银翼 5G全网通  12+512G,,1
vivo iQOO 12,vivo,16+512G  赛道版,,1
OPPO A3,OPPO,静海黑 12+512G,,1
华为 nova 12,华为, 12号色 512G,,1
机械革命 蛟龙15K,机械革命（MECHREVO）,R7-7435H/16G/512G/RTX4050/15.6英寸 灰色,,1
三星 Galaxy Z Flip5,三星,云影灰 标准版 8+512G,,1
华为 Pocket 2,华为,雅黑 12+512G,,1
Apple Watch Ultra 2,Apple,大号 橄榄色高山回环式表带 钛金属表壳 49MM 蜂窝+GPS版,,2
华为 Mate 60 Pro,华为,12+1T 雅丹黑 标准版,,2
小米 14 Ultra,小米,16+512G 白色,,4
vivo X100 Ultra,vivo, 钛色 专属版 12+256G,,2
OPPO Reno12,OPPO,乌木黑 12+512G,,2
三星 Galaxy Z Flip6,三星,星夜银 12+256G,,4
MatePad Pro 2024款,华为,13.2英寸 12GB+256GB WiFi版 曜金黑,,1
一加平板 Pro,一加,8GB+256GB 深空灰,,1
OPPO Reno12,OPPO,千禧银 12+512G,,2
惠普暗影精灵9 2023款,惠普（HP）,i9-13900HX/16G/1TB固态/RTX4060/16.1英寸/240Hz 陨石黑,,1
OPPO Reno12,OPPO,乌木黑 16+512G,,1
vivo Y300 Pro,vivo,钛色 12+256G,,2
vivo iQOO Neo9S Pro,vivo,格斗黑 12+512G,,4
vivo S19Pro,vivo,剑影灰 8+256G,,1
Apple Watch Ultra 2,Apple,S/M 蓝配黑色野径回环式表带 钛金属表壳 49MM 蜂窝+GPS版,,1
vivo iQOO Z9 Turbo,vivo, 星芒白 16+512G,,2
红米K70至尊版,红米,冰璃蓝 12+512G,,2
华为 Mate 60,华为,Mate 60 白沙银 标准版 12+512G,,1
OPPO Find X7,OPPO, 星空黑 16+512G,,1
华为 MateBook X Pro 2024,华为,晴蓝 U9/32GB/2TB,,1
vivo X100 Ultra,vivo, 白月光 专属版 12+256G,,1
vivo Y300 Pro,vivo,金镶玉 12+512G,,2
华为 Mate 60,华为,Mate 60 雅丹黑 标准版 12+512G,,3
荣耀200 Pro,荣耀,绒黑色 16+1T,,1
华硕 天选5 Pro,华硕,日蚀灰 i7-13650HX/16G/512G/RTX4060/16英寸,,1
荣耀Magic V Flip,荣耀,鸢尾黑 12+512G,,1
vivo Y300 Pro,vivo,金镶玉 12+256G,,3
一加 Ace 3V,一加,钛空灰 12+256G,,1
vivo Y300 Pro,vivo,12+256G 墨玉黑,,1
华硕 ROG幻14 Air 2024,华硕,R9-8945HS/32GB/1TB/RTX4060/14英寸/2.8K/120Hz 铂月白,,1
Redmi K70 Pro,红米, 墨羽 16+512G,,4
华为 Pura 70 Pro+,华为,公开零售版 弦乐白 16+1T,,1
荣耀200,荣耀,月影白 12+512G,,1
华为MatePad Air 2023款,华为,8GB+128GB WIFI版 云锦白,,1
荣耀X50,荣耀,全新  雨后初晴  标准版 8GB+256GB,,3
小米 14 Ultra,小米,12+256G 黑色,,2
vivo Y300 Pro,vivo,羊脂白 8+256G,,1
ThinkBook Plus17,联想,i7-12700H/16G/512G/集显/17.3英寸 深灰色,,1
MacBook Pro 2023款,Apple,M3/8+10核/8G+512G/14英寸 银色,,1
机械革命 蛟龙15K,机械革命（MECHREVO）,R5-6600H/16G/512G/RTX3050/15.6英寸 灰色,,1
iPad Air 2024款 13英寸,Apple,星光色 WiFi版 512G,,1
华为 畅享70 Pro,华为, 翡冷翠 128G,,2
ThinkBook 16+ 2023,联想,i5-13500H/16G/512G/集显/16英寸 苍岩灰,,1
华为Watch3 Pro new,华为,时尚款 棕色真皮表带 钛灰色,,1
华硕 ROG幻13 2023款,华硕（Asus）,R9-7940HS/16G/1T/RTX4050/13.4英寸 星际黑,,1
一加平板 Pro,一加,16GB+512GB 深空灰,,3
联想 小新Pro16 2024,联想,鸽子灰 R7-8845H/32G/1T/集显/16英寸,,2
荣耀Magic Vs3,荣耀,祁连雪 12+256G,,1
iPhone 16 Pro,Apple,颜色随机 256G,,34
荣耀100,荣耀, 月影白 16+256G,,1
荣耀X50,荣耀,全新  标准版  勃朗蓝 8GB+256GB,,1
三星 Galaxy Z Fold6,三星,冷夜蓝 12+512G,,1
三星 Galaxy Z Fold6,三星,星夜银 12+512G,,1
iPhone 16 Pro Max,Apple,沙漠色钛金属 256G,,9
vivo X100s,vivo,16+1T 专属版  深空灰,,2
iPhone 16 Pro Max,Apple,沙漠色钛金属 512G,,4
iPhone 16 Pro,Apple,颜色随机 128G,,12
Redmi K70 Pro,红米, 晴雪 16+512G,,1
荣耀X50,荣耀,全新  雨后初晴  标准版 16GB+512GB,,1
荣耀 Magic6 Pro,荣耀, 麦浪绿 5G全网通 12+256G,,1
iPhone 16 Pro Max,Apple,颜色随机 256G,,105
小米 14 Ultra,小米,16+1T 黑色,,3
Redmi Note 13 Pro+,红米,浅梦空间 16+512G,,1
Redmi K70 Pro,红米,24+1T  晴雪,,1
iPhone 16 Pro Max,Apple,颜色随机 512G,,45
iPad Air 2024款 13英寸,Apple,WiFi版 512G 深空灰,,1
vivo X100s Pro,vivo, 辰夜黑 16+1T 专属版,,1
iPhone 16,Apple,黑色 128G,,8
iPhone 16,Apple,白色 128G,,11
iPhone 16 Pro,Apple,沙漠色钛金属 512G,,2
iPhone 16 Pro Max,Apple,黑色钛金属 512G,,2
红魔9Pro,努比亚（nubia）, 氘锋透明暗夜 5G全网通  12+256G,,1
vivo Y300 Pro,vivo,钛色 12+512G,,2
Apple Watch Ultra 2 2024,Apple,黑色海洋表带 黑色钛金属表壳 GPS＋蜂窝版 49mm,,13
iPhone 16,Apple,群青 256G,,2
iPhone 16 Pro Max,Apple,白色钛金属 256G,,3
一加 Ace 3,一加, 星辰黑 16+512G 5G全网通,,1
iPhone 16 Pro Max,Apple,颜色随机 1T,,13
iPhone 16 Pro,Apple,颜色随机 512G,,6
小米 Pad 6S Pro 12.4,小米,8GB+256GB 黑色,,1
荣耀X50,荣耀,全新  典雅黑  标准版 12GB+256GB,,3
OPPO A3 Pro,OPPO,远山蓝 12+512G,,1
荣耀平板8,荣耀,标准版 8GB+256GB WIFI版 曙光蓝,,1
OPPO Reno12,OPPO,千禧银 12+256G,,3
华为 Mate X5,华为,16GB+512GB 典藏版  羽砂金,,1
iPhone 15 Pro（99新）,Apple,白色钛金属 128G,,3
华为 Mate X5,华为, 羽砂金 12+512G,,1
iPhone 16 Pro Max,Apple,沙漠色钛金属 1T,,1
iPhone 16,Apple,256G 白色,,5
惠普 星Book 15 2023,惠普（HP）,i5-1340P/16G/1TB/锐炬Xe/15.6英寸 银色,,1
AirPods  4  (支持主动降噪),Apple,白色 标配,,3
iPhone 16 Pro Max,Apple,白色钛金属 512G,,1
vivo S19Pro,vivo,烟雨青 8+256G,,1
小米 14 Ultra,小米,龙晶蓝 16+1T,,1
iPad Air 2024款 13英寸,Apple,WiFi版 256G 深空灰,,1
华为 Pura 70 Pro,华为,12+256G 公开加锁版 极速发货 雪域白,,3
vivo S19Pro,vivo,千山翠 12+256G,,1
Apple Watch Series 10,Apple,丹宁色运动型表带 - M/L 银色铝金属表壳 GPS 42mm,,8
iPhone 15 Pro（99新）,Apple,原色钛金属 128G,,1
iPad 2022款,Apple,WiFi版 64G 标准版（iPad 2022） 10.9英寸 银色,,2
魅族 21 Pro,魅族,16+512G 冰川蓝,,1
vivo iQOO Neo9S Pro,vivo,星曜白 16+1T,,1
iPhone 16,Apple,粉色 128G,,1
三星 Galaxy Z Flip6,三星,夏沫蓝 12+256G,,1
iPhone 16 Pro,Apple,沙漠色钛金属 256G,,6
华为 FreeBuds Pro 3,华为,陶瓷白,,2
iPhone 16,Apple,256G 黑色,,3
iPhone 15 Pro（99新）,Apple,原色钛金属 256G,,1
iPhone 16 Pro Max,Apple,黑色钛金属 256G,,2
华为 nova 12 Pro,华为, 曜金黑 512G,,1
iPhone 16 Pro,Apple,白色钛金属 128G,,3
魅族 21 Pro,魅族,月桂绿 12+256G,,1
iPhone 16,Apple,深青 128G,,4
iPad Air 2024款 M2芯片 Apple/苹果 新款平板电脑,Apple,13英寸256GB 无线局域网机型,星光色,2
Apple Watch Ultra 2 年度爆款 全新正品 顺丰发货,Apple,49毫米 GPS+蜂窝网络,橙色海洋表带,1
iPad Air 2024款 M2芯片 Apple/苹果 新款平板电脑,Apple,11英寸128GB 无线局域网机型,深空灰色,1
苹果 15PM【首月1元】  ,Apple,256GB,蓝色钛金属,3
苹果 15PM【首月1元】  ,Apple,1TB,原色钛金属,1
HUAWEI Pura 70 Ultra 超聚光伸缩摄像头 超高速风驰闪拍 双卫星通信,华为（HUAWEI）,16GB+512GB,星芒白,1
苹果15 Pro【首月1元】,Apple,512GB,黑色钛金属,7
HUAWEI MatePad Pro  12.2英寸 2024新款平板电脑,华为（HUAWEI）,WiFi 12GB+256GB 柔光版,宣白,1
华为 FreeClip,华为,流光紫,,1
iPhone 15 Pro Max（99新）,Apple,白色钛金属 256G,,2
iPhone 16 Pro Max,Apple,原色钛金属 256G,,1
荣耀 平板MagicPad2,荣耀,星空黑 8GB+256GB,,1
AirPods 4,Apple,白色 标配,,3
三星 Galaxy Z Flip6,三星,夏沫蓝 12+512G,,1
iPhone 15 Pro Max（99新）,Apple,512G 原色钛金属,,1
华为 WATCH GT 4,华为,幻夜黑 氟橡胶表带 GT 4 （41mm）,,1
vivo iQOO Neo9S Pro,vivo,星曜白 16+512G,,2
华为 Mate 60 Pro,华为,12+512G 公开加锁版 南糯紫 标准版,,1
iPhone 15 Pro Max（99新）,Apple,黑色钛金属 256G,,1
iPhone 16 Pro,Apple,沙漠色钛金属 128G,,3
荣耀X50 GT,荣耀,16+512G 5G全网通  幻夜黑,,1
ThinkBook 14+ 2024,联想,UItra 7 155H/32G/1T/锐炫/14.5英寸 月神灰,,1
华为 Mate 60 Pro,华为,12+512G 公开加锁版 雅川青 标准版,,4
华硕 a豆14 2024,华硕,i5-1335U/24GB/1TB/集显/14英寸 栀子幻白,,1
联想YOGA Pro 14s 2023款,联想（Lenovo）,i9-13900H/32G/1T/集显/14.5英寸/触控屏 深空灰,,1
华为 Mate 60 Pro,华为,12+256G 公开加锁版 白沙银 标准版,,1
iPhone 16 Pro,Apple,白色钛金属 256G,,3
荣耀Magic V3,荣耀,苔原绿 16+512G,,4
华为 Pura 70 Pro,华为,12+256G 公开加锁版 极速发货 羽砂黑,,5
华为 畅享70,华为,翡冷翠 128G,,1
荣耀90 GT,荣耀, 燃速金 12+256G,,1
华为 nova 12 活力版,华为, 樱语白 512G,,2
机械革命 旷世G16 Pro,机械革命（MECHREVO）,i9-13900HX/RTX4060/16G/1TB/16英寸/QHD100色域/240Hz 灰色,,1
荣耀Magic V Flip,荣耀,鸢尾黑 12+1T,,1
iPhone 16 Plus,Apple,256G 黑色,,2
iPhone 15 Pro Max（仅激活）,Apple,原色钛金属 512G,,1
华为 MatePad Pro 12.6英寸,华为,12GB+256GB WIFI版 曜金黑,,1
三星 Galaxy S24,三星, 雅岩灰 8+256G,,1
惠普 暗影精灵10,惠普（HP）,暗影黑 i7-13620H/16G/512G/RTX4060/16.1英寸,,1
一加Ace3 Pro,一加,绿野素青 16+512G,,1
iPhone 16 Pro Max,Apple,黑色钛金属 1T,,1
华为 Mate 60 Pro,华为,12+512G 公开加锁版 白沙银 标准版,,3
华为 nova Flip,华为,向新绿 256G,,1
iPhone 15 Plus,苹果,128G,粉色,1
iPhone 15 Pro Max,苹果,256G,蓝色钛金属,9
iPhone 15 Pro,苹果,128G,黑色钛金属,3
iPhone 15 Plus,苹果,128G,蓝色,2
OPPO Reno12,OPPO,柔和桃 16+256G,,2
iPhone 16 Pro,Apple,黑色钛金属 256G,,3
华硕 a豆14 2024,华硕,i5-1335U/16GB/1TB/集显/14英寸 香草罗勒,,1
红茶,沪上阿姨,大杯,大杯,7
华为 Pura 70,华为,极速配送 羽砂黑 12+512G,,1
Apple Watch Series 10,Apple,丹宁色运动型表带 - S/M 银色铝金属表壳 GPS 42mm,,3
联想 小新Pad 2024款,联想（Lenovo）,8GB+128GB 烟霞紫 11英寸,,1
vivo Pad3 Pro,vivo,薄霞紫 8GB+256GB,,1
iPhone 16,Apple,白色 512G,,1
机械革命 翼龙15 Pro 2024,机械革命（MECHREVO）,苍墨绿 R7-8845H/32G/1T/RTX4060/15.3英寸,,1
iPhone 16,Apple,深青 256G,,3
华为 Mate X5,华为,16GB+1TB 典藏版  羽砂白,,1
iPhone 16 Plus,Apple,粉色 256G,,1
vivo X Fold3,vivo,薄翼黑 16+256G,,1
Redmi K70 Pro,红米,24+1T  墨羽,,2
小米 14 Ultra,小米,16+1T 白色,,1
努比亚 Flip,努比亚（nubia）,焦糖 12+256G,,1
华为 Pura 70 Pro,华为,12+256G 公开加锁版 极速发货 罗兰紫,,1
iPhone 16 Pro,Apple,颜色随机 1T,,1
机械革命 无界14 2023款,机械革命（MECHREVO）,R7-7735H/集显/16G/512G/14英寸 银色,,1
